linha_producao,turno,produto_quimico,tipo_valvula,status_sensor,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,pressao_linha_bar,desvio_pressao_pct,temperatura_produto_c,abertura_valvula_pct,vibracao_bomba_mm_s,ph_produto,consumo_energia_kwh,tempo_resposta_seg,horas_operacao_bomba,status_instrumentacao,acao_ideal_controle
Linha_B,Tarde,Solvente,Globo,OK,96.93,92.66,-4.41,7.89,36.03,38.23,44.5,7.14,7.12,161.09,3.31,1774,Alerta,Aumentar_Abertura
Linha_B,Tarde,Acido,Esfera,OK,91.09,85.81,-5.8,7.16,23.45,43.74,36.69,0.81,6.41,113.7,2.94,2048,Normal,Aumentar_Abertura
Linha_C,Manhã,Base,Borboleta,OK,111.09,124.78,12.32,5.52,-4.83,41.01,70.59,2.17,4.19,131.41,2.4,1364,Normal,Reduzir_Abertura
Linha_C,Manhã,Base,Borboleta,OK,100.42,102.21,1.78,5.27,-9.14,48.11,68.18,2.34,6.21,177.64,2.47,2022,Normal,Manter_Ajuste
Linha_A,Noite,Acido,Esfera,OK,96.61,101.93,5.51,5.51,-5.0,38.26,24.06,2.01,5.81,101.74,1.98,2201,Normal,Reduzir_Abertura
Linha_C,Manhã,Base,Borboleta,Ruido,98.73,95.8,-2.97,6.26,7.93,30.99,47.74,1.69,8.53,83.25,3.22,1398,Normal,Manter_Ajuste
Linha_C,Manhã,Base,Borboleta,OK,102.68,101.56,-1.09,5.71,-1.55,32.33,39.46,2.78,4.93,153.3,2.71,1831,Normal,Manter_Ajuste
Linha_B,Noite,Acido,Borboleta,OK,107.4,103.12,-3.99,5.44,-6.21,38.28,78.28,1.5,5.21,106.81,2.14,1426,Normal,Aumentar_Abertura
Linha_A,Manhã,Base,Esfera,OK,88.0,72.09,-18.08,7.12,22.76,33.26,30.7,3.67,8.02,124.54,2.14,1484,Alerta,Aumentar_Abertura
Linha_B,Noite,Acido,Globo,OK,87.5,79.23,-9.45,5.7,-1.72,44.87,83.88,3.27,8.29,112.11,1.59,1125,Normal,Aumentar_Abertura
Linha_A,Noite,Base,Borboleta,OK,113.26,102.4,-9.59,7.87,35.69,38.74,54.4,3.87,5.98,130.9,3.78,2559,Normal,Aumentar_Abertura
Linha_A,Tarde,Solvente,Globo,OK,95.05,81.55,-14.2,5.88,1.38,58.62,34.09,3.91,6.1,104.09,2.88,2439,Normal,Aumentar_Abertura
Linha_A,Manhã,Solvente,Esfera,OK,83.0,75.83,-8.64,7.41,27.76,29.84,42.81,4.04,7.48,121.04,1.94,2122,Normal,Aumentar_Abertura
Linha_C,Manhã,Acido,Globo,OK,105.33,113.28,7.55,6.12,5.52,43.43,40.57,2.68,4.24,134.9,3.61,2983,Normal,Reduzir_Abertura
Linha_B,Manhã,Base,Borboleta,Instavel,105.56,105.29,-0.26,6.67,15.0,34.1,32.06,6.17,4.75,102.82,2.24,1686,Alerta,Manter_Ajuste
Linha_C,Tarde,Acido,Esfera,OK,81.63,89.37,9.48,5.15,-11.21,38.55,56.71,3.53,6.49,109.6,1.39,3619,Normal,Reduzir_Abertura
Linha_C,Manhã,Acido,Globo,Instavel,102.75,105.22,2.4,5.03,-13.28,42.99,32.9,0.59,8.5,117.36,3.82,1663,Normal,Manter_Ajuste
Linha_B,Tarde,Acido,Globo,OK,108.83,113.53,4.32,6.21,7.07,25.72,15.75,1.8,6.32,93.57,2.26,1953,Normal,Reduzir_Abertura
Linha_B,Manhã,Base,Esfera,OK,104.49,99.08,-5.18,6.69,15.34,43.66,48.17,0.76,6.91,115.7,2.39,1561,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Esfera,Instavel,107.58,110.72,2.92,5.84,0.69,55.32,22.55,3.22,8.05,127.61,2.84,2023,Normal,Manter_Ajuste
Linha_A,Manhã,Base,Borboleta,Instavel,83.15,87.52,5.26,4.64,-20.0,38.83,41.46,3.03,9.12,116.21,3.94,2301,Alerta,Reduzir_Abertura
Linha_B,Noite,Solvente,Globo,OK,103.97,100.51,-3.33,4.58,-21.03,43.82,38.64,2.54,6.17,119.03,2.82,1732,Normal,Aumentar_Abertura
Linha_B,Manhã,Acido,Borboleta,Ruido,96.37,99.73,3.49,4.52,-22.07,49.17,39.32,6.02,6.78,124.56,1.6,2866,Falha,Reduzir_Abertura
Linha_B,Manhã,Acido,Esfera,OK,94.21,97.61,3.61,4.21,-27.41,40.85,91.02,3.97,8.8,110.57,3.34,1943,Normal,Reduzir_Abertura
Linha_C,Manhã,Acido,Borboleta,OK,110.45,107.15,-2.99,5.9,1.72,37.93,56.02,4.22,5.13,140.2,2.32,1962,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Globo,Ruido,117.75,111.01,-5.72,6.81,17.41,26.07,59.42,1.9,7.93,156.59,4.69,1255,Alerta,Aumentar_Abertura
Linha_B,Manhã,Base,Globo,OK,121.53,114.43,-5.84,5.79,-0.17,46.49,23.02,1.8,5.68,114.78,2.8,2051,Normal,Aumentar_Abertura
Linha_B,Tarde,Acido,Globo,Instavel,115.78,116.3,0.45,3.77,-35.0,41.21,43.23,3.25,6.91,135.67,0.56,1720,Alerta,Manter_Ajuste
Linha_A,Tarde,Base,Esfera,OK,98.68,100.64,1.99,5.63,-2.93,34.91,58.88,3.44,6.53,119.73,3.16,1435,Normal,Manter_Ajuste
Linha_A,Tarde,Acido,Borboleta,Instavel,104.23,99.47,-4.57,5.65,-2.59,42.89,36.56,0.6,5.75,133.04,4.74,1334,Alerta,Aumentar_Abertura
Linha_B,Noite,Base,Globo,OK,109.2,109.36,0.15,7.69,32.59,37.91,71.35,2.95,5.72,159.45,4.38,3403,Alerta,Manter_Ajuste
Linha_A,Noite,Base,Esfera,OK,101.45,104.87,3.37,4.49,-22.59,38.3,33.35,3.22,7.1,136.19,4.63,1642,Alerta,Reduzir_Abertura
Linha_B,Tarde,Base,Globo,OK,101.57,105.28,3.65,5.45,-6.03,46.24,49.85,2.9,7.9,85.98,1.78,926,Normal,Reduzir_Abertura
Linha_C,Noite,Solvente,Borboleta,OK,109.89,119.2,8.47,7.34,26.55,32.63,44.45,2.06,6.66,134.99,3.71,1381,Normal,Reduzir_Abertura
Linha_A,Manhã,Base,Borboleta,OK,99.29,106.95,7.71,6.2,6.9,49.33,57.96,2.44,6.88,152.12,2.08,1769,Normal,Reduzir_Abertura
Linha_A,Noite,Acido,Borboleta,OK,91.25,85.24,-6.59,6.31,8.79,32.22,43.47,2.95,7.43,120.12,3.02,2128,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Borboleta,OK,95.03,105.13,10.63,5.9,1.72,37.36,50.12,3.33,5.73,146.9,1.53,2133,Normal,Reduzir_Abertura
Linha_A,Noite,Acido,Esfera,OK,107.61,104.42,-2.96,6.1,5.17,55.46,50.75,4.05,7.61,109.82,2.16,2206,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Borboleta,OK,100.04,106.31,6.27,6.5,12.07,49.89,41.78,4.71,7.7,92.32,2.12,1413,Normal,Reduzir_Abertura
Linha_B,Noite,Base,Globo,Instavel,104.08,104.49,0.39,5.07,-12.59,42.68,63.73,2.79,9.66,128.11,3.7,2004,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Borboleta,OK,108.04,105.57,-2.29,6.59,13.62,35.42,59.29,2.56,6.39,86.36,3.6,1274,Normal,Manter_Ajuste
Linha_B,Tarde,Base,Borboleta,Instavel,95.5,84.65,-11.36,4.56,-21.38,38.3,53.4,3.81,6.3,119.73,3.08,1428,Falha,Aumentar_Abertura
Linha_B,Manhã,Acido,Borboleta,OK,109.07,108.04,-0.94,6.1,5.17,42.51,47.25,4.06,7.65,153.31,1.45,1249,Normal,Manter_Ajuste
Linha_C,Tarde,Base,Esfera,Instavel,104.55,95.19,-8.95,5.96,2.76,42.26,69.34,2.59,7.7,82.99,2.49,1087,Normal,Aumentar_Abertura
Linha_A,Manhã,Acido,Borboleta,OK,85.18,90.98,6.81,5.25,-9.48,41.36,50.75,4.31,6.21,96.85,2.05,2439,Normal,Reduzir_Abertura
Linha_A,Noite,Acido,Esfera,OK,117.31,126.41,7.76,5.78,-0.34,41.78,49.48,4.57,6.36,102.3,3.67,2213,Normal,Reduzir_Abertura
Linha_A,Manhã,Base,Globo,OK,93.99,89.21,-5.09,5.24,-9.66,40.5,56.88,5.01,7.4,123.61,3.98,2386,Normal,Aumentar_Abertura
Linha_C,Manhã,Base,Borboleta,OK,80.14,81.95,2.26,4.84,-16.55,31.91,85.54,5.69,5.89,116.95,3.86,1824,Normal,Manter_Ajuste
Linha_B,Manhã,Solvente,Globo,OK,87.46,83.11,-4.97,5.48,-5.52,38.38,30.87,1.99,6.35,155.78,2.04,2266,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Globo,OK,87.75,83.98,-4.3,4.81,-17.07,48.4,68.86,3.22,6.9,146.0,0.5,743,Normal,Aumentar_Abertura
Linha_B,Tarde,Solvente,Esfera,Ruido,100.63,105.28,4.62,6.09,5.0,32.42,20.92,3.22,7.9,135.9,1.03,2318,Normal,Reduzir_Abertura
Linha_A,Noite,Acido,Globo,OK,96.71,96.48,-0.24,4.76,-17.93,40.67,58.91,3.06,6.13,128.2,4.22,1906,Normal,Manter_Ajuste
Linha_B,Tarde,Base,Borboleta,OK,95.96,106.4,10.88,6.44,11.03,36.26,83.35,2.29,4.77,133.65,2.4,2176,Normal,Reduzir_Abertura
Linha_B,Manhã,Base,Esfera,Ruido,107.44,104.55,-2.69,4.74,-18.28,42.78,63.8,1.12,4.69,106.04,2.05,2028,Alerta,Manter_Ajuste
Linha_B,Manhã,Acido,Globo,OK,104.08,110.08,5.76,5.29,-8.79,39.28,58.07,3.33,5.41,143.86,4.44,1208,Normal,Reduzir_Abertura
Linha_A,Manhã,Acido,Borboleta,OK,103.79,104.37,0.56,5.24,-9.66,52.34,44.91,2.12,5.36,100.54,4.07,901,Normal,Manter_Ajuste
Linha_B,Tarde,Acido,Esfera,Instavel,104.92,109.69,4.55,6.99,20.52,45.55,55.56,3.32,6.63,143.38,2.82,1373,Alerta,Reduzir_Abertura
Linha_B,Noite,Base,Globo,Instavel,107.39,104.71,-2.5,6.1,5.17,32.82,50.46,2.09,5.49,151.1,2.51,2139,Normal,Manter_Ajuste
Linha_A,Tarde,Solvente,Borboleta,OK,74.7,74.4,-0.4,5.61,-3.28,46.7,40.85,1.66,6.03,129.64,2.67,2214,Normal,Manter_Ajuste
Linha_A,Noite,Base,Esfera,OK,95.63,94.94,-0.72,6.25,7.76,36.58,49.78,3.53,5.95,121.12,3.03,979,Normal,Manter_Ajuste
Linha_C,Manhã,Solvente,Globo,OK,73.84,68.82,-6.8,3.9,-32.76,37.96,58.57,3.41,6.32,133.81,4.4,1211,Alerta,Aumentar_Abertura
Linha_C,Manhã,Solvente,Borboleta,OK,100.43,104.4,3.95,5.76,-0.69,44.2,41.19,4.01,8.25,62.05,3.22,1366,Normal,Reduzir_Abertura
Linha_B,Noite,Acido,Esfera,OK,99.94,103.84,3.9,7.6,31.03,38.56,40.49,6.26,7.53,131.65,3.53,1586,Alerta,Reduzir_Abertura
Linha_A,Manhã,Base,Borboleta,OK,112.55,116.11,3.16,5.92,2.07,48.25,30.52,3.59,6.82,122.51,3.97,983,Normal,Reduzir_Abertura
Linha_C,Manhã,Acido,Borboleta,OK,114.25,123.47,8.07,5.86,1.03,36.58,62.03,3.88,6.29,123.89,1.63,947,Normal,Reduzir_Abertura
Linha_C,Tarde,Solvente,Esfera,Instavel,102.43,111.13,8.49,6.29,8.45,37.67,64.82,1.69,6.32,140.54,3.55,1307,Normal,Reduzir_Abertura
Linha_C,Noite,Solvente,Borboleta,OK,94.0,91.75,-2.39,6.61,13.97,37.41,59.17,1.4,7.16,123.36,2.51,1852,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Globo,OK,105.82,108.06,2.12,4.0,-31.03,38.04,72.37,5.42,7.44,99.92,0.5,1092,Normal,Manter_Ajuste
Linha_A,Manhã,Base,Globo,OK,93.66,89.92,-3.99,4.29,-26.03,49.69,56.58,1.91,5.8,121.89,0.67,1731,Normal,Aumentar_Abertura
Linha_A,Noite,Acido,Esfera,Instavel,99.98,100.12,0.14,5.99,3.28,46.4,62.06,1.74,6.84,126.49,1.78,2435,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Borboleta,OK,111.83,108.23,-3.22,5.16,-11.03,53.97,60.47,3.15,4.57,127.53,3.33,1019,Normal,Aumentar_Abertura
Linha_B,Noite,Solvente,Esfera,OK,93.31,103.03,10.42,6.98,20.34,57.87,53.35,3.07,7.03,128.56,2.91,1676,Alerta,Reduzir_Abertura
Linha_A,Noite,Solvente,Esfera,OK,109.67,111.85,1.99,5.52,-4.83,34.78,45.45,1.94,7.64,147.87,2.98,2415,Normal,Manter_Ajuste
Linha_A,Manhã,Acido,Borboleta,OK,108.13,106.82,-1.21,4.06,-30.0,42.49,94.85,2.77,6.49,101.11,4.75,1549,Alerta,Manter_Ajuste
Linha_B,Noite,Acido,Borboleta,OK,88.54,95.7,8.09,4.66,-19.66,33.77,46.86,4.92,8.8,128.87,1.53,1456,Normal,Reduzir_Abertura
Linha_A,Manhã,Acido,Borboleta,Instavel,111.69,98.67,-11.66,3.33,-42.59,36.56,43.01,2.07,5.83,153.38,2.77,2498,Falha,Aumentar_Abertura
Linha_C,Noite,Acido,Globo,OK,108.38,96.3,-11.15,5.59,-3.62,37.59,62.81,1.25,7.04,86.84,3.1,1616,Normal,Aumentar_Abertura
Linha_C,Tarde,Solvente,Borboleta,Instavel,101.22,106.0,4.72,5.63,-2.93,34.6,59.53,4.52,6.76,128.95,2.06,2463,Normal,Reduzir_Abertura
Linha_C,Noite,Solvente,Esfera,Ruido,90.85,91.21,0.4,5.42,-6.55,34.64,29.71,3.89,6.69,112.12,2.83,2057,Normal,Manter_Ajuste
Linha_B,Tarde,Solvente,Esfera,OK,89.69,91.19,1.67,6.77,16.72,40.99,75.21,2.33,6.67,116.84,1.2,1594,Normal,Manter_Ajuste
Linha_B,Tarde,Solvente,Esfera,OK,93.55,85.59,-8.51,6.88,18.62,33.48,53.3,0.98,6.92,105.09,4.21,2088,Alerta,Aumentar_Abertura
Linha_B,Tarde,Solvente,Globo,OK,106.51,106.37,-0.13,5.65,-2.59,47.89,35.0,2.16,7.73,121.27,2.12,1992,Normal,Manter_Ajuste
Linha_B,Noite,Acido,Globo,Instavel,88.53,100.55,13.58,3.88,-33.1,35.58,76.4,3.12,8.32,165.51,4.83,2413,Falha,Reduzir_Abertura
Linha_A,Noite,Solvente,Esfera,OK,105.25,110.2,4.7,6.36,9.66,61.67,66.26,4.83,6.8,97.18,2.77,1471,Normal,Reduzir_Abertura
Linha_B,Manhã,Acido,Borboleta,OK,85.1,86.12,1.2,6.3,8.62,38.84,32.24,1.75,7.7,99.27,3.83,1825,Normal,Manter_Ajuste
Linha_A,Noite,Acido,Borboleta,OK,97.55,94.92,-2.7,6.08,4.83,42.5,86.99,3.08,6.03,96.36,2.75,1763,Normal,Manter_Ajuste
Linha_B,Tarde,Solvente,Globo,Instavel,101.32,98.95,-2.34,6.68,15.17,32.93,66.86,4.15,7.64,163.0,2.77,2222,Normal,Manter_Ajuste
Linha_A,Manhã,Solvente,Borboleta,OK,129.34,116.56,-9.88,4.75,-18.1,53.94,54.82,0.2,5.96,114.83,2.22,1185,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Globo,OK,83.47,85.02,1.86,7.61,31.21,49.84,83.62,4.65,8.0,124.44,2.92,2410,Normal,Manter_Ajuste
Linha_A,Noite,Solvente,Borboleta,OK,117.66,122.73,4.31,4.94,-14.83,44.08,57.87,1.54,9.23,116.14,3.12,2080,Normal,Reduzir_Abertura
Linha_B,Noite,Solvente,Esfera,Ruido,101.8,92.35,-9.28,6.47,11.55,32.57,54.49,3.66,6.67,104.22,2.02,1010,Normal,Aumentar_Abertura
Linha_A,Noite,Base,Esfera,OK,104.93,100.96,-3.78,4.28,-26.21,43.47,43.11,3.55,4.39,119.83,2.67,2525,Normal,Aumentar_Abertura
Linha_C,Tarde,Solvente,Borboleta,OK,101.42,94.48,-6.84,4.96,-14.48,34.15,65.47,4.72,6.2,179.08,2.19,3140,Normal,Aumentar_Abertura
Linha_B,Noite,Solvente,Esfera,Instavel,105.34,99.55,-5.5,7.16,23.45,52.24,63.58,3.97,8.16,155.63,5.1,2401,Falha,Aumentar_Abertura
Linha_A,Tarde,Acido,Borboleta,Ruido,98.16,98.48,0.33,5.57,-3.97,47.66,55.26,0.2,7.41,106.24,2.71,2656,Normal,Manter_Ajuste
Linha_B,Noite,Base,Esfera,OK,117.45,104.94,-10.65,6.56,13.1,42.67,40.78,2.1,7.07,139.25,4.35,1851,Alerta,Aumentar_Abertura
Linha_A,Tarde,Solvente,Borboleta,OK,94.52,98.21,3.9,6.01,3.62,24.95,57.34,3.39,7.91,106.71,2.6,803,Normal,Reduzir_Abertura
Linha_C,Manhã,Solvente,Esfera,Instavel,113.59,118.11,3.98,5.71,-1.55,35.12,53.74,2.93,7.33,85.92,3.06,694,Normal,Reduzir_Abertura
Linha_B,Manhã,Solvente,Globo,Instavel,92.27,90.76,-1.64,7.03,21.21,46.81,31.0,3.87,8.14,147.43,1.48,1953,Alerta,Manter_Ajuste
Linha_C,Manhã,Solvente,Borboleta,OK,99.28,84.4,-14.99,5.59,-3.62,50.49,28.51,4.31,7.81,150.52,2.35,1445,Normal,Aumentar_Abertura
Linha_A,Manhã,Solvente,Esfera,OK,87.14,81.16,-6.86,4.2,-27.59,49.76,65.17,4.05,8.47,148.01,3.01,1251,Normal,Aumentar_Abertura
Linha_B,Tarde,Base,Esfera,Instavel,105.46,112.86,7.02,5.08,-12.41,30.86,8.17,2.9,7.19,114.66,4.39,1762,Alerta,Reduzir_Abertura
Linha_B,Tarde,Base,Globo,Instavel,117.34,100.67,-14.21,6.3,8.62,44.11,58.7,0.62,7.8,121.33,3.02,2169,Alerta,Aumentar_Abertura
Linha_C,Manhã,Base,Globo,Instavel,99.07,96.98,-2.11,6.16,6.21,49.11,46.39,2.56,6.46,141.49,4.18,928,Alerta,Manter_Ajuste
Linha_B,Tarde,Solvente,Esfera,OK,97.64,90.56,-7.25,4.39,-24.31,30.39,78.55,3.78,6.14,133.61,3.44,1531,Normal,Aumentar_Abertura
Linha_B,Tarde,Solvente,Globo,OK,86.62,91.45,5.58,5.15,-11.21,41.94,46.12,1.67,8.68,116.34,4.43,2706,Normal,Reduzir_Abertura
Linha_A,Manhã,Base,Borboleta,Ruido,97.25,93.2,-4.16,5.28,-8.97,43.92,66.87,4.08,7.04,89.38,2.74,1155,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Borboleta,Instavel,80.89,83.31,2.99,5.47,-5.69,39.89,47.86,4.47,7.69,127.51,5.19,2322,Alerta,Manter_Ajuste
Linha_B,Tarde,Base,Borboleta,Instavel,89.05,92.44,3.81,4.56,-21.38,29.03,57.05,3.38,6.94,148.74,2.31,1509,Alerta,Reduzir_Abertura
Linha_B,Tarde,Solvente,Borboleta,OK,102.72,113.74,10.73,5.23,-9.83,39.72,68.26,0.2,6.15,98.65,2.03,2127,Normal,Reduzir_Abertura
Linha_A,Tarde,Acido,Esfera,OK,115.83,114.61,-1.05,5.14,-11.38,39.71,46.67,1.41,6.81,139.05,1.59,2458,Normal,Manter_Ajuste
Linha_C,Noite,Acido,Globo,Instavel,133.71,135.97,1.69,6.49,11.9,40.96,72.94,5.84,8.38,132.29,5.13,2245,Falha,Manter_Ajuste
Linha_C,Manhã,Base,Esfera,OK,92.96,84.05,-9.58,6.53,12.59,38.06,37.11,2.43,7.41,141.5,3.62,2345,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Esfera,Ruido,117.22,124.36,6.09,5.67,-2.24,38.9,60.3,0.42,4.92,144.18,2.47,1109,Normal,Reduzir_Abertura
Linha_B,Tarde,Acido,Borboleta,OK,102.93,98.37,-4.43,5.45,-6.03,41.72,71.61,4.93,6.56,109.72,4.05,2468,Normal,Aumentar_Abertura
Linha_A,Manhã,Acido,Globo,OK,98.19,94.83,-3.42,5.93,2.24,45.1,66.88,3.22,8.76,89.43,3.49,1288,Normal,Aumentar_Abertura
Linha_B,Noite,Acido,Esfera,Instavel,105.19,105.06,-0.12,5.07,-12.59,39.87,89.5,4.75,6.56,113.26,4.77,1956,Alerta,Manter_Ajuste
Linha_A,Manhã,Acido,Esfera,OK,100.74,91.36,-9.31,4.77,-17.76,39.13,41.26,3.59,4.82,144.56,1.25,1955,Normal,Aumentar_Abertura
Linha_B,Manhã,Base,Globo,OK,101.32,102.69,1.35,4.95,-14.66,42.65,30.18,3.84,8.88,113.08,2.53,2091,Normal,Manter_Ajuste
