linha_producao,turno,equipamento_monitorado,produto_quimico,status_sensor,temperatura_processo_c,pressao_linha_bar,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,vibracao_mm_s,tempo_resposta_seg,consumo_energia_kwh,horas_operacao,umidade_ambiente_pct,ph_produto,condicao_operacional
Linha_B,Noite,Sensor,Ácido,Ruído,47.61,7.26,104.72,94.05,-10.19,2.0,2.07,119.48,2056,55.77,5.96,Alerta
Linha_C,Manhã,Sensor,Ácido,OK,41.69,5.26,83.12,75.47,-9.2,2.39,5.41,96.45,4027,56.4,10.18,Normal
Linha_A,Manhã,Bomba,Solvente,Instável,48.18,6.93,94.59,83.37,-11.86,2.21,2.27,101.52,2581,67.54,8.34,Alerta
Linha_A,Manhã,Sensor,Solvente,OK,33.74,5.78,86.99,91.12,4.75,1.2,3.01,122.77,2146,81.05,7.8,Normal
Linha_B,Tarde,Válvula,Solvente,OK,53.75,6.03,93.87,100.32,6.87,2.48,2.09,87.78,1274,52.41,7.69,Normal
Linha_C,Noite,Bomba,Base,Ruído,52.62,6.41,88.42,87.52,-1.02,0.95,1.0,111.89,1521,59.19,7.76,Normal
Linha_D,Manhã,Válvula,Solvente,OK,50.22,5.66,108.49,100.81,-7.08,0.52,2.94,99.29,1684,65.06,5.55,Normal
Linha_C,Tarde,Sensor,Base,Instável,34.83,5.9,83.06,84.2,1.37,4.53,1.94,148.64,1236,91.34,7.69,Normal
Linha_D,Noite,Bomba,Solvente,OK,50.86,6.71,87.96,88.33,0.42,3.27,1.72,153.02,3345,49.86,4.52,Normal
Linha_D,Tarde,Trocador,Solvente,OK,34.2,6.94,101.95,95.05,-6.77,2.05,2.68,138.75,2663,85.92,5.09,Normal
Linha_A,Noite,Bomba,Ácido,OK,54.19,6.77,93.06,86.98,-6.53,4.15,1.99,144.21,641,73.36,6.99,Normal
Linha_D,Tarde,Trocador,Solvente,Instável,33.01,8.69,89.3,88.6,-0.78,4.26,2.41,160.52,2152,64.83,7.19,Alerta
Linha_C,Noite,Bomba,Ácido,OK,41.44,8.24,114.84,113.01,-1.59,5.51,1.71,146.76,2323,39.64,6.43,Normal
Linha_B,Noite,Sensor,Solvente,OK,49.77,6.01,93.81,89.44,-4.66,2.66,2.45,139.29,2150,51.96,7.98,Normal
Linha_C,Manhã,Sensor,Ácido,OK,34.69,6.05,117.77,117.89,0.1,3.56,3.07,90.71,4053,58.47,5.99,Normal
Linha_D,Noite,Sensor,Aditivo,OK,27.75,6.37,83.5,84.3,0.96,2.71,2.38,86.73,1646,72.96,8.41,Normal
Linha_B,Tarde,Sensor,Ácido,OK,38.84,6.61,57.52,62.47,8.61,2.39,3.9,127.1,3291,57.52,7.22,Normal
Linha_B,Noite,Válvula,Ácido,OK,39.18,7.68,98.84,107.64,8.9,4.87,2.6,150.92,2041,68.6,7.17,Normal
Linha_A,Manhã,Válvula,Ácido,OK,39.31,5.15,99.66,97.16,-2.51,4.01,4.22,131.47,3699,63.68,5.76,Normal
Linha_C,Manhã,Válvula,Ácido,OK,43.98,5.24,119.17,122.5,2.79,1.7,3.13,132.58,100,55.3,5.09,Normal
Linha_A,Tarde,Válvula,Ácido,OK,42.37,5.78,84.17,89.61,6.46,3.38,1.9,98.4,2272,66.11,7.7,Normal
Linha_C,Noite,Bomba,Solvente,Ruído,43.4,9.24,100.42,87.69,-12.68,4.3,4.41,111.8,3549,67.7,6.12,Falha
Linha_A,Noite,Sensor,Ácido,OK,35.94,7.37,82.87,83.05,0.22,3.05,3.13,161.83,2535,51.1,3.89,Normal
Linha_B,Noite,Válvula,Ácido,OK,39.3,4.16,103.35,101.09,-2.19,3.22,4.64,119.24,1294,62.55,7.2,Normal
Linha_A,Manhã,Válvula,Aditivo,OK,46.28,6.04,111.66,113.79,1.91,6.98,4.74,120.7,868,84.61,6.14,Alerta
Linha_A,Manhã,Sensor,Base,OK,35.32,3.89,101.27,116.44,14.98,2.0,2.26,106.53,1552,73.41,6.64,Normal
Linha_B,Noite,Válvula,Solvente,OK,33.66,6.38,87.13,85.29,-2.11,2.36,3.68,166.75,1258,84.18,6.5,Normal
Linha_B,Manhã,Válvula,Ácido,OK,42.43,5.7,102.22,108.16,5.81,5.66,2.09,105.52,1149,62.28,4.1,Normal
Linha_A,Noite,Trocador,Base,OK,60.77,7.38,118.36,125.93,6.4,3.55,2.22,145.71,3307,55.03,6.75,Normal
Linha_B,Manhã,Trocador,Base,Ruído,60.27,7.39,110.34,114.69,3.94,3.13,1.91,93.09,2102,51.05,7.91,Alerta
Linha_A,Noite,Válvula,Aditivo,OK,23.89,7.8,89.84,94.26,4.92,1.39,5.09,80.81,1456,54.36,6.03,Alerta
Linha_B,Tarde,Bomba,Base,OK,39.18,6.32,79.9,71.56,-10.44,3.87,4.72,131.21,1303,92.35,8.04,Alerta
Linha_C,Manhã,Trocador,Base,OK,41.59,6.67,98.45,97.69,-0.77,4.22,4.69,116.6,1131,45.65,6.72,Normal
Linha_B,Manhã,Bomba,Aditivo,OK,41.72,7.24,109.7,110.11,0.37,5.15,1.38,153.96,2491,45.48,7.02,Normal
Linha_D,Noite,Trocador,Base,OK,42.32,6.67,101.59,100.54,-1.03,5.43,3.64,143.39,2301,39.93,7.2,Normal
Linha_C,Manhã,Trocador,Solvente,OK,37.87,5.07,87.0,81.87,-5.9,3.92,2.48,157.08,1537,60.95,6.15,Normal
Linha_B,Tarde,Trocador,Aditivo,Ruído,41.11,4.94,85.96,91.01,5.87,2.35,2.15,125.87,3291,60.81,9.6,Normal
Linha_D,Tarde,Válvula,Solvente,OK,33.41,6.52,107.62,107.53,-0.08,1.49,2.76,124.45,1466,58.58,7.38,Normal
Linha_B,Tarde,Válvula,Solvente,Ruído,29.8,4.14,96.59,86.58,-10.36,5.76,3.18,124.13,1649,65.24,6.07,Alerta
Linha_C,Manhã,Bomba,Solvente,OK,33.8,7.78,80.91,76.47,-5.49,2.48,3.06,181.89,2250,61.5,7.55,Normal
Linha_C,Manhã,Sensor,Solvente,Instável,42.68,4.93,87.03,76.33,-12.29,5.26,1.67,116.76,1345,46.57,7.14,Alerta
Linha_B,Tarde,Trocador,Base,OK,47.88,7.28,105.3,94.43,-10.32,4.56,2.54,157.73,2402,58.28,6.83,Normal
Linha_B,Manhã,Trocador,Solvente,OK,61.61,5.71,103.68,108.98,5.11,3.01,3.8,85.27,1100,77.22,6.8,Normal
Linha_A,Noite,Sensor,Aditivo,OK,37.37,4.25,91.23,94.79,3.9,5.63,4.73,76.97,1506,52.09,7.56,Normal
Linha_B,Tarde,Sensor,Ácido,Ruído,50.63,6.21,104.86,117.15,11.72,3.33,3.56,126.66,3215,70.48,5.05,Alerta
Linha_C,Manhã,Válvula,Ácido,OK,42.33,5.58,93.43,84.22,-9.86,5.43,2.32,106.4,2216,57.34,5.79,Normal
Linha_D,Tarde,Sensor,Base,OK,39.82,4.46,81.24,85.27,4.96,3.04,5.12,74.93,2390,69.81,5.07,Normal
Linha_B,Manhã,Trocador,Solvente,OK,48.27,7.12,110.61,114.47,3.49,2.93,3.99,172.89,1729,62.82,5.03,Normal
Linha_B,Tarde,Válvula,Aditivo,OK,41.69,6.04,94.02,98.36,4.62,3.26,2.64,157.0,2685,56.35,3.54,Normal
Linha_B,Noite,Bomba,Ácido,Ruído,36.69,5.84,91.68,96.95,5.75,6.72,1.33,154.41,2014,57.17,6.38,Alerta
Linha_B,Tarde,Válvula,Solvente,Ruído,37.01,7.82,124.06,128.36,3.47,4.07,0.58,132.71,1375,63.89,6.12,Alerta
Linha_C,Tarde,Bomba,Base,Ruído,35.03,4.28,115.03,115.53,0.43,3.39,4.91,148.23,3171,65.05,5.29,Alerta
Linha_A,Tarde,Sensor,Solvente,Ruído,34.22,7.62,102.58,97.0,-5.44,0.89,4.08,109.21,2319,74.03,6.23,Alerta
Linha_B,Manhã,Trocador,Ácido,Instável,46.47,6.71,78.58,86.25,9.76,2.3,2.56,135.33,2886,40.9,8.74,Normal
Linha_C,Manhã,Bomba,Ácido,OK,44.49,6.36,109.65,90.95,-17.05,1.39,3.37,136.24,1947,60.84,7.78,Normal
Linha_C,Noite,Bomba,Solvente,OK,33.93,3.11,97.81,90.41,-7.57,0.2,1.62,161.96,1491,60.51,3.82,Normal
Linha_B,Noite,Bomba,Solvente,OK,30.92,6.48,90.19,90.98,0.88,2.04,4.29,144.81,2426,61.79,6.34,Normal
Linha_B,Noite,Sensor,Ácido,OK,50.45,5.55,72.18,64.48,-10.67,6.49,1.84,110.12,2444,48.77,8.21,Alerta
Linha_A,Manhã,Sensor,Ácido,OK,41.3,7.7,123.2,125.2,1.62,5.22,1.76,108.61,2457,49.01,6.76,Normal
Linha_C,Tarde,Bomba,Solvente,Instável,41.75,5.83,79.38,72.36,-8.84,4.99,4.44,168.26,2585,66.68,7.02,Alerta
Linha_A,Manhã,Bomba,Solvente,Ruído,41.5,4.32,117.93,128.46,8.93,2.67,1.94,108.24,1608,63.6,6.97,Normal
Linha_B,Tarde,Trocador,Ácido,OK,41.76,5.3,99.75,95.64,-4.12,2.42,2.84,105.76,3456,73.0,5.41,Normal
Linha_B,Manhã,Válvula,Solvente,OK,35.54,5.4,83.26,77.22,-7.25,0.75,4.28,134.65,2589,31.4,7.52,Normal
Linha_D,Manhã,Trocador,Ácido,OK,52.07,6.31,106.35,103.46,-2.72,4.79,3.18,89.46,2721,75.94,7.99,Normal
Linha_D,Tarde,Válvula,Aditivo,Instável,51.44,5.57,86.36,89.25,3.35,2.88,4.36,92.73,787,62.61,6.06,Alerta
Linha_B,Manhã,Sensor,Solvente,OK,43.97,7.15,85.79,80.85,-5.76,3.04,1.63,145.74,993,68.79,7.01,Normal
Linha_D,Noite,Trocador,Aditivo,OK,22.08,6.74,95.9,86.72,-9.57,4.44,2.83,141.84,1378,75.81,5.95,Normal
Linha_B,Noite,Sensor,Solvente,Instável,43.18,5.28,92.87,89.85,-3.25,1.62,3.9,138.94,938,72.38,7.26,Normal
Linha_D,Tarde,Trocador,Solvente,OK,43.2,8.02,84.67,75.95,-10.3,4.98,3.31,184.78,1894,57.89,8.62,Alerta
Linha_C,Manhã,Trocador,Base,OK,47.85,6.21,98.9,96.85,-2.07,0.81,3.05,147.03,2387,57.29,8.24,Normal
Linha_C,Tarde,Trocador,Base,OK,46.77,4.8,104.95,103.11,-1.75,0.9,2.5,155.49,2294,65.92,4.55,Normal
Linha_A,Tarde,Trocador,Solvente,Instável,52.62,5.26,112.11,106.68,-4.84,4.96,2.61,101.28,2608,63.76,5.76,Normal
Linha_A,Tarde,Válvula,Solvente,Instável,41.28,7.45,85.26,89.84,5.37,3.9,2.38,120.99,3879,74.49,6.05,Normal
Linha_B,Tarde,Válvula,Solvente,OK,24.04,7.35,94.1,101.61,7.98,3.69,3.71,104.55,1240,31.06,7.72,Normal
Linha_A,Tarde,Bomba,Base,Instável,57.42,6.9,79.41,65.49,-17.53,0.27,1.56,134.92,1502,63.61,6.63,Alerta
Linha_D,Noite,Bomba,Base,OK,58.59,4.86,115.33,128.92,11.78,4.62,2.85,138.53,2863,80.8,6.74,Alerta
Linha_A,Noite,Válvula,Aditivo,OK,47.54,5.09,115.06,115.55,0.43,5.54,3.41,117.43,1687,70.62,5.28,Normal
Linha_A,Noite,Sensor,Aditivo,OK,30.17,5.38,92.62,94.58,2.12,2.79,2.66,127.31,1154,64.02,8.54,Normal
Linha_C,Noite,Trocador,Aditivo,OK,49.7,7.64,119.08,108.68,-8.73,2.65,3.75,144.53,1492,73.73,7.29,Normal
Linha_B,Manhã,Válvula,Base,OK,42.58,5.9,89.79,74.1,-17.47,6.17,2.13,136.2,2266,47.43,4.46,Alerta
Linha_D,Manhã,Válvula,Base,OK,33.19,6.66,88.32,101.95,15.43,2.1,4.0,144.2,2154,61.71,8.38,Normal
Linha_A,Manhã,Sensor,Ácido,Ruído,48.76,4.21,89.51,91.27,1.97,0.2,4.55,125.41,2110,68.35,5.4,Alerta
Linha_B,Manhã,Sensor,Solvente,Instável,64.13,3.33,97.46,106.51,9.29,4.21,2.18,110.96,2341,76.5,7.2,Alerta
Linha_C,Manhã,Trocador,Ácido,Instável,44.2,5.82,101.82,106.65,4.74,2.11,2.15,103.96,2401,58.98,5.86,Normal
Linha_D,Manhã,Sensor,Aditivo,OK,42.87,6.48,93.08,84.45,-9.27,4.56,1.05,106.85,1247,57.06,6.26,Normal
Linha_B,Noite,Sensor,Base,OK,34.3,6.08,105.31,104.4,-0.86,2.28,3.24,142.55,1650,56.68,8.73,Normal
Linha_C,Tarde,Trocador,Ácido,OK,39.68,6.34,104.73,105.2,0.45,2.95,5.46,139.81,2609,61.97,6.51,Normal
Linha_A,Manhã,Sensor,Ácido,Ruído,57.94,5.7,119.97,119.96,-0.01,2.69,2.52,121.43,2375,49.31,6.54,Normal
Linha_C,Tarde,Bomba,Solvente,Instável,40.7,6.14,88.31,87.38,-1.05,2.23,2.84,130.84,1190,66.64,6.66,Normal
Linha_B,Tarde,Sensor,Solvente,Instável,38.63,6.39,110.84,116.27,4.9,3.47,0.74,90.64,2007,70.01,7.09,Normal
Linha_A,Manhã,Bomba,Solvente,Instável,38.88,5.51,97.8,91.18,-6.77,5.67,2.04,130.65,2244,76.25,8.21,Normal
Linha_A,Noite,Bomba,Aditivo,OK,45.63,4.49,109.67,102.01,-6.98,1.74,3.98,135.6,1181,79.92,7.96,Normal
Linha_B,Tarde,Válvula,Base,OK,34.27,5.58,106.83,103.16,-3.44,4.0,4.23,104.53,100,46.2,7.29,Normal
Linha_B,Manhã,Bomba,Solvente,OK,46.76,7.32,70.13,72.17,2.91,2.44,4.0,139.07,1419,71.33,8.21,Normal
Linha_C,Manhã,Trocador,Ácido,OK,36.52,3.3,104.93,100.04,-4.66,3.15,4.4,103.25,2827,49.8,6.91,Normal
Linha_B,Noite,Válvula,Ácido,OK,48.26,5.19,79.94,78.07,-2.34,4.71,2.62,141.82,1132,51.29,7.86,Normal
Linha_C,Tarde,Bomba,Base,OK,56.75,5.9,107.91,114.44,6.05,3.41,2.38,130.02,2244,68.94,7.85,Normal
Linha_B,Noite,Bomba,Ácido,OK,38.84,4.32,104.23,108.87,4.45,5.94,5.2,149.26,1233,58.96,7.25,Alerta
Linha_D,Manhã,Bomba,Ácido,OK,45.74,7.65,96.87,93.0,-4.0,0.97,1.98,148.56,1738,78.73,7.08,Normal
Linha_B,Tarde,Sensor,Solvente,OK,49.95,5.7,108.89,88.09,-19.1,0.52,2.81,163.71,3556,57.29,7.72,Normal
Linha_C,Manhã,Sensor,Base,OK,48.56,6.25,106.26,96.89,-8.82,2.89,2.8,118.4,2487,73.31,6.62,Normal
Linha_C,Tarde,Bomba,Solvente,OK,47.28,5.03,116.45,115.72,-0.63,3.73,2.44,148.56,3381,67.42,9.06,Normal
Linha_A,Manhã,Trocador,Solvente,OK,53.52,5.23,81.33,85.07,4.6,5.0,2.64,120.97,299,78.44,7.21,Normal
Linha_A,Tarde,Bomba,Solvente,Instável,23.54,5.77,110.39,103.22,-6.5,2.26,2.65,129.66,2105,64.0,7.84,Normal
Linha_B,Tarde,Válvula,Base,OK,41.84,5.37,90.39,93.81,3.78,3.26,3.25,125.73,2681,63.3,5.02,Normal
Linha_B,Noite,Trocador,Solvente,OK,35.48,5.29,99.4,95.99,-3.43,1.81,2.71,107.22,2368,49.88,7.71,Normal
Linha_B,Noite,Bomba,Base,OK,46.26,4.88,95.16,98.33,3.33,4.86,4.21,132.9,2156,55.56,7.51,Normal
Linha_A,Manhã,Válvula,Base,Ruído,54.03,6.55,97.7,87.95,-9.98,4.84,2.58,157.26,1489,57.97,7.46,Normal
Linha_B,Manhã,Bomba,Base,OK,45.17,4.27,105.16,103.29,-1.78,3.77,2.73,121.57,3078,41.43,9.2,Normal
Linha_C,Manhã,Bomba,Base,OK,38.67,7.18,96.46,94.77,-1.75,3.21,3.21,154.51,1740,57.09,7.31,Normal
Linha_A,Manhã,Bomba,Ácido,Ruído,48.0,6.31,80.0,83.12,3.9,3.27,1.07,65.32,3284,51.13,7.53,Normal
Linha_A,Tarde,Válvula,Aditivo,OK,62.12,5.64,128.07,122.54,-4.32,1.71,2.09,167.3,2180,60.53,7.3,Normal
Linha_D,Noite,Válvula,Base,OK,41.38,6.55,100.99,102.29,1.29,0.8,3.75,100.42,2949,57.69,7.93,Normal
Linha_C,Manhã,Válvula,Ácido,OK,41.89,4.44,95.93,86.88,-9.43,4.66,3.33,139.19,1336,86.55,5.57,Normal
Linha_A,Tarde,Bomba,Solvente,Instável,46.84,5.7,113.13,109.8,-2.94,4.06,3.01,162.65,2178,48.0,4.88,Normal
Linha_D,Noite,Válvula,Base,OK,42.27,4.68,94.79,76.65,-19.14,3.87,3.4,93.18,2701,44.61,6.95,Normal
Linha_A,Manhã,Bomba,Aditivo,Instável,50.94,5.82,91.42,86.19,-5.72,2.26,1.56,137.32,1505,42.34,8.31,Normal
Linha_B,Noite,Válvula,Base,OK,33.87,5.19,123.87,115.49,-6.77,1.51,3.15,160.8,1319,58.7,5.27,Normal
Linha_D,Manhã,Trocador,Aditivo,OK,38.76,4.61,95.07,98.45,3.56,4.57,2.15,131.01,1689,69.5,7.25,Normal
Linha_A,Manhã,Sensor,Aditivo,OK,23.84,4.73,122.74,117.16,-4.55,3.77,3.39,125.61,1720,65.83,6.71,Normal
Linha_D,Tarde,Sensor,Solvente,OK,43.77,6.21,130.54,133.0,1.88,2.93,4.88,128.94,3369,65.48,4.42,Normal
Linha_A,Tarde,Válvula,Solvente,Ruído,44.95,5.04,81.41,83.51,2.58,5.25,1.41,134.36,560,90.96,7.05,Normal
Linha_A,Manhã,Sensor,Ácido,OK,37.26,4.52,77.56,74.77,-3.6,5.97,4.8,141.68,1643,79.92,5.83,Alerta
Linha_C,Tarde,Sensor,Ácido,Instável,36.18,6.0,98.19,99.71,1.55,5.91,2.16,141.69,3212,81.1,4.77,Alerta
Linha_D,Tarde,Bomba,Ácido,OK,45.3,6.3,114.65,130.71,14.01,2.57,3.53,113.27,1980,64.02,9.18,Normal
Linha_B,Noite,Válvula,Aditivo,OK,64.82,5.72,89.1,85.92,-3.57,4.21,1.74,118.12,3093,65.81,6.42,Normal
Linha_A,Noite,Bomba,Aditivo,Instável,32.75,4.43,91.35,82.18,-10.04,4.8,2.52,150.22,2097,79.95,8.09,Alerta
Linha_B,Manhã,Sensor,Base,OK,46.79,7.12,79.13,74.54,-5.8,1.07,1.53,163.25,1782,55.53,5.89,Normal
Linha_A,Noite,Trocador,Aditivo,OK,41.44,5.81,116.92,118.93,1.72,7.46,4.42,126.35,3358,66.61,8.18,Alerta
Linha_B,Tarde,Sensor,Base,OK,22.83,7.43,87.46,91.06,4.12,2.42,5.37,121.03,2545,37.52,6.62,Normal
Linha_C,Noite,Bomba,Ácido,OK,50.27,5.75,85.53,84.39,-1.33,4.72,2.24,139.84,2054,42.08,7.21,Normal
Linha_B,Tarde,Válvula,Base,Instável,44.1,6.89,111.78,111.11,-0.6,4.47,2.5,152.42,1262,57.14,7.63,Normal
Linha_C,Manhã,Válvula,Base,OK,37.12,4.04,108.87,107.78,-1.0,5.27,4.37,132.68,1930,72.63,6.25,Normal
Linha_D,Noite,Trocador,Ácido,Instável,42.16,5.47,100.56,81.96,-18.5,3.11,1.95,131.95,1582,45.73,5.46,Alerta
Linha_B,Noite,Válvula,Solvente,OK,38.04,5.37,84.2,88.1,4.63,1.88,1.36,150.7,1353,69.55,7.18,Normal
Linha_A,Noite,Trocador,Base,OK,54.05,7.81,94.15,95.19,1.1,3.41,3.75,140.56,2858,67.17,5.82,Normal
Linha_D,Noite,Bomba,Solvente,OK,36.26,5.24,89.76,92.99,3.6,3.69,2.93,154.6,1323,49.97,6.14,Normal
Linha_D,Noite,Sensor,Solvente,OK,29.94,4.51,94.98,102.2,7.6,1.58,4.47,131.08,1184,60.5,7.47,Normal
Linha_A,Tarde,Válvula,Solvente,OK,42.61,5.28,114.67,119.79,4.46,5.43,2.91,123.82,2913,76.25,6.88,Normal
Linha_D,Tarde,Válvula,Base,OK,37.38,5.04,105.33,113.42,7.68,0.2,0.83,121.9,2062,83.01,6.01,Normal
Linha_B,Tarde,Bomba,Solvente,OK,57.1,5.84,81.06,81.18,0.15,4.32,5.26,99.94,705,67.96,5.71,Normal
Linha_A,Manhã,Válvula,Base,OK,41.38,4.77,78.19,74.24,-5.05,5.18,2.48,141.99,2413,71.53,6.69,Normal
Linha_A,Noite,Válvula,Base,Instável,53.64,4.82,103.27,107.62,4.21,2.51,3.67,116.29,1429,37.61,10.4,Normal
Linha_C,Tarde,Bomba,Ácido,OK,42.02,6.69,106.27,94.73,-10.86,0.7,2.97,165.0,2036,60.52,5.12,Normal
Linha_A,Noite,Válvula,Aditivo,OK,31.4,3.38,88.93,97.96,10.15,3.14,1.38,106.89,2446,53.72,6.45,Normal
Linha_C,Tarde,Sensor,Aditivo,Instável,61.86,6.66,84.51,82.01,-2.96,3.09,0.73,128.46,3411,63.82,6.25,Alerta
Linha_A,Manhã,Sensor,Aditivo,OK,37.82,6.93,75.18,78.09,3.87,2.69,4.37,108.98,2551,71.4,6.94,Normal
Linha_B,Noite,Trocador,Aditivo,OK,39.2,6.92,109.2,104.09,-4.68,1.42,3.61,127.34,1282,47.87,7.27,Normal
Linha_A,Tarde,Trocador,Base,Ruído,53.47,4.05,105.89,106.07,0.17,8.04,5.13,103.74,3028,72.22,6.45,Alerta
Linha_C,Noite,Trocador,Solvente,OK,53.16,4.24,105.02,111.17,5.86,3.17,3.12,103.37,1680,48.77,6.31,Normal
Linha_B,Noite,Válvula,Aditivo,OK,47.83,5.72,106.54,99.05,-7.03,2.41,3.13,125.23,1364,36.97,8.47,Normal
Linha_B,Noite,Bomba,Solvente,OK,47.22,5.93,91.63,81.7,-10.84,2.47,2.43,142.4,2495,71.96,6.48,Normal
Linha_D,Noite,Bomba,Ácido,OK,58.96,4.14,99.84,98.49,-1.35,4.23,0.98,166.68,2379,79.9,7.17,Normal
Linha_B,Noite,Válvula,Aditivo,Instável,56.69,7.09,90.85,83.5,-8.09,3.51,3.78,163.46,1120,77.25,4.09,Normal
Linha_C,Noite,Bomba,Solvente,OK,50.92,7.73,91.51,102.02,11.49,1.17,2.64,98.48,2661,54.4,4.97,Alerta
Linha_C,Noite,Bomba,Ácido,OK,44.86,5.18,67.97,66.09,-2.77,2.58,2.94,120.53,2000,67.21,7.0,Normal
Linha_C,Manhã,Trocador,Ácido,OK,25.63,5.49,96.92,96.08,-0.87,3.99,3.08,176.72,3405,44.06,5.71,Normal
Linha_D,Noite,Sensor,Ácido,OK,46.35,7.85,104.91,104.41,-0.48,2.6,4.46,115.48,1092,62.69,6.49,Alerta
Linha_C,Tarde,Bomba,Ácido,OK,39.61,6.23,109.01,102.1,-6.34,4.67,2.71,121.67,1679,78.23,7.83,Normal
Linha_A,Noite,Trocador,Ácido,OK,57.98,6.22,83.46,76.35,-8.52,3.9,2.1,115.33,2916,85.19,7.56,Normal
Linha_B,Noite,Válvula,Aditivo,Ruído,42.35,6.08,120.88,136.68,13.07,4.91,2.9,141.48,2214,45.23,6.77,Alerta
Linha_A,Tarde,Bomba,Solvente,OK,41.58,3.67,116.56,130.08,11.6,4.62,5.18,151.6,1900,59.08,4.32,Alerta
Linha_A,Tarde,Sensor,Solvente,OK,40.97,4.75,87.45,84.05,-3.89,4.1,3.27,131.8,2426,62.88,8.05,Normal
Linha_C,Manhã,Trocador,Ácido,OK,48.24,7.33,89.01,89.0,-0.01,5.89,3.05,112.0,252,65.6,6.72,Normal
Linha_B,Tarde,Sensor,Solvente,OK,40.83,4.61,109.05,113.57,4.14,1.13,2.54,148.98,2282,71.71,6.69,Normal
Linha_B,Noite,Trocador,Solvente,OK,48.93,7.08,97.12,93.63,-3.59,0.86,2.54,132.65,1783,51.34,7.14,Normal
Linha_D,Tarde,Trocador,Ácido,Ruído,54.69,6.58,91.39,83.57,-8.56,2.02,1.64,96.83,862,64.55,6.47,Normal
Linha_B,Noite,Válvula,Ácido,OK,44.88,4.9,90.18,90.37,0.21,2.78,2.25,106.53,2513,49.36,4.43,Normal
Linha_B,Tarde,Trocador,Solvente,OK,49.88,6.72,94.9,98.28,3.56,3.01,3.09,158.56,1837,86.39,8.27,Normal
