timestamp,lote_producao,operador,modo_controle,status_valvula,setpoint_vazao_l_min,vazao_medida_l_min,pressao_linha_bar,temperatura_processo_c,abertura_valvula_pct,vibracao_bomba_mm_s,tempo_resposta_ms,ph_produto,densidade_produto_g_cm3,status_instrumentacao
2026-01-11 00:00:00,Lote_B,op_d,automatico,normal,127.74,131.05,4.052,41.51,55.23,2.245,308.9,6.39,1.079,estavel
2026-01-11 01:00:00,Lote_D,op_a,automatico,intermitente,136.42,151.43,4.286,49.92,58.25,0.817,290.5,7.22,0.99,inspecao
2026-01-11 02:00:00,Lote_D,op_a,automatico,intermitente,108.42,118.565,3.8865,38.28,40.46,1.542,365.3,6.64,1.071,inspecao
2026-01-11 03:00:00,Lote_D,op_d,automatico,intermitente,128.23,118.27,4.007,51.91,34.96,2.099,382.1,6.87,1.074,inspecao
2026-01-11 04:00:00,Lote_A,op_c,automatico,normal,132.7,118.47,3.768,41.78,83.51,1.353,325.7,6.9,1.007,inspecao
2026-01-11 05:00:00,Lote_C,op_b,automatico,normal,98.9,110.87,3.053,34.13,44.45,2.62,416.0,6.71,1.028,inspecao
2026-01-11 06:00:00,Lote_A,op_b,automatico,normal,105.8,111.03,3.993,42.7,42.14,3.272,321.4,7.01,1.007,estavel
2026-01-11 07:00:00,Lote_C,op_a,automatico,intermitente,95.53,95.09,3.893,38.25,23.55,3.053,307.4,6.63,1.034,inspecao
2026-01-11 08:00:00,Lote_A,op_c,automatico,normal,116.77,119.01,3.922,46.62,47.78,2.051,273.4,7.1,1.031,estavel
2026-01-11 09:00:00,Lote_C,op_b,manual,normal,128.61,119.61,3.225,38.41,36.83,3.244,198.7,6.33,1.063,inspecao
2026-01-11 10:00:00,Lote_A,op_c,automatico,normal,138.03,155.70874999999998,3.8865,39.55,84.27,2.304,314.6,6.84,1.079,inspecao
2026-01-11 11:00:00,Lote_D,op_c,automatico,normal,120.89,121.92,4.274,31.61,74.16,1.964,312.1,7.48,1.082,inspecao
2026-01-11 12:00:00,Lote_B,op_a,automatico,normal,139.54,140.42,3.782,39.51,46.99,1.771,418.4,6.45,1.023,estavel
2026-01-11 13:00:00,Lote_A,op_b,automatico,normal,103.44,109.25,4.107,30.766249999999992,94.04,1.988,361.0,6.56,1.034,inspecao
2026-01-11 14:00:00,Lote_C,op_d,automatico,normal,99.56,103.41,3.813,33.29,73.71,1.928,253.4,6.82,0.989,inspecao
2026-01-11 15:00:00,Lote_D,op_a,automatico,normal,119.33,121.12,3.8865,46.18,52.8,2.319,440.5,6.86,1.016,inspecao
2026-01-11 16:00:00,Lote_A,op_b,automatico,normal,124.61,118.29,4.222,46.32,18.01,2.312,399.4,6.92,1.069,estavel
2026-01-11 17:00:00,Lote_A,op_b,cascata,normal,119.61,123.38,3.568,44.34,94.66,2.202,357.8,6.97,1.088,estavel
2026-01-11 18:00:00,Lote_D,op_b,cascata,normal,95.19,110.25,3.843,43.175,35.77,2.506,305.3,7.02,1.003,inspecao
2026-01-11 19:00:00,Lote_A,op_b,automatico,normal,118.93,129.69,3.592,41.74,31.67,3.033,257.6,7.19,1.022,inspecao
2026-01-11 20:00:00,Lote_B,op_b,automatico,normal,104.35,117.1,3.604,41.98,74.36,2.865,321.4,6.94,1.039,inspecao
2026-01-11 21:00:00,Lote_A,op_a,automatico,normal,128.04,123.95,3.661,35.63,97.04,1.161,390.8,6.72,1.048,estavel
2026-01-11 22:00:00,Lote_B,op_a,manual,normal,124.4,116.48,3.9,50.27,80.15,0.412,442.5,7.04,1.016,inspecao
2026-01-11 23:00:00,Lote_B,op_c,automatico,intermitente,108.72,107.71,3.585,46.83,67.02,2.854,420.3,7.46,1.053,inspecao
2026-01-12 00:00:00,Lote_D,op_d,automatico,normal,113.83,114.28,4.365,40.78,67.52,1.243,288.2,6.75,1.026,estavel
2026-01-12 01:00:00,Lote_A,op_b,automatico,normal,107.29,116.04,3.397,42.15,71.65,2.043,247.2,6.46,1.04,inspecao
2026-01-12 02:00:00,Lote_D,op_a,automatico,normal,119.25,105.71,3.716,43.15,70.14,1.381,329.2,7.19,1.056,inspecao
2026-01-12 03:00:00,Lote_A,op_a,cascata,normal,131.46,143.7,3.602,30.77,62.5,0.939,205.1,6.76,1.04,inspecao
2026-01-12 04:00:00,Lote_A,op_a,automatico,normal,108.17,106.91,4.451,40.64,59.67,2.579,341.0,6.04,1.027,estavel
2026-01-12 05:00:00,Lote_C,op_c,manual,normal,126.05,122.63,3.888,38.25,57.0,2.731,310.4,7.1,1.037,estavel
2026-01-12 06:00:00,Lote_A,op_a,automatico,travada,113.64,105.54,4.264,36.49,45.94,1.796,289.7,6.61,1.037,inspecao
2026-01-12 07:00:00,Lote_D,op_d,automatico,normal,110.49,97.25,3.131,40.45,53.51,0.386,216.3,6.77,1.029,inspecao
2026-01-12 08:00:00,Lote_B,op_d,automatico,intermitente,118.72,125.31,3.92,51.89,30.91,1.818,353.4,6.92,1.032,inspecao
2026-01-12 09:00:00,Lote_A,op_a,automatico,normal,107.58,108.17,4.2,45.52,56.43,2.474,285.4,6.87,1.088,estavel
2026-01-12 10:00:00,Lote_C,op_a,cascata,intermitente,113.36,103.04,3.837,38.86,42.18,1.165,505.525,7.05,1.057,inspecao
2026-01-12 11:00:00,Lote_D,op_a,manual,normal,105.63,118.565,4.279,45.15,40.34,2.328,321.4,6.65,1.031,inspecao
2026-01-12 12:00:00,Lote_A,op_a,cascata,normal,143.58,140.89,3.567,49.7,60.88,2.189,318.2,6.98,1.061,estavel
2026-01-12 13:00:00,Lote_D,op_d,cascata,normal,120.42,133.77,4.434,47.09,80.27,2.606,435.2,6.71,1.03,inspecao
2026-01-12 14:00:00,Lote_C,op_b,automatico,normal,111.6,109.52,3.8865,42.33,72.69,2.284,428.0,7.06,1.075,inspecao
2026-01-12 15:00:00,Lote_C,op_a,cascata,normal,122.57,110.54,3.637,38.44,32.87,1.519,290.3,7.02,1.051,inspecao
2026-01-12 16:00:00,Lote_D,op_a,automatico,normal,118.65,116.68,3.6,45.84,42.17,3.038,280.9,6.47,1.037,estavel
2026-01-12 17:00:00,Lote_A,op_d,automatico,normal,117.35,115.17,3.8865,44.16,73.05,2.089,350.5,7.18,1.053,estavel
2026-01-12 18:00:00,Lote_B,op_d,automatico,normal,127.37,105.79,4.511,46.92,42.28,2.181,255.1,6.61,0.993,inspecao
2026-01-12 19:00:00,Lote_C,op_c,automatico,normal,129.09,128.66,3.565,45.49,54.41,1.547,339.6,7.08,1.006,estavel
2026-01-12 20:00:00,Lote_A,op_a,automatico,travada,113.63,111.78,3.611,47.77,66.8,1.89,369.8,6.93,1.004,inspecao
2026-01-12 21:00:00,Lote_A,op_c,automatico,travada,113.09,118.66,3.8865,39.06,42.51,1.581,399.8,7.44,1.044,inspecao
2026-01-12 22:00:00,Lote_B,op_d,manual,intermitente,116.7,131.49,3.195,49.25,59.69,2.079,313.5,6.72,1.092,inspecao
2026-01-12 23:00:00,Lote_C,op_d,automatico,normal,92.38,118.565,3.387,43.09,36.66,3.398,306.8,6.68,1.107,inspecao
2026-01-13 00:00:00,Lote_C,op_b,automatico,normal,101.82,99.67,3.348,53.41,48.38,1.24,262.9,6.79,1.059,inspecao
2026-01-13 01:00:00,Lote_A,op_a,automatico,intermitente,136.4,118.565,3.454,38.21,63.12,1.071,266.3,6.82,1.055,inspecao
2026-01-13 02:00:00,Lote_A,op_c,automatico,normal,139.74,155.70874999999998,3.784,51.55,32.51,3.23,305.3,7.08,0.986,inspecao
2026-01-13 03:00:00,Lote_B,op_d,manual,travada,117.01,117.48,3.905,43.09,65.05,2.053,343.9,6.23,1.024,inspecao
2026-01-13 04:00:00,Lote_B,op_d,automatico,travada,126.92,127.03,4.498,38.42,57.69,1.732,379.4,6.43,1.016,inspecao
2026-01-13 05:00:00,Lote_C,op_c,cascata,intermitente,123.74,123.55,3.351,39.34,66.84,2.928,267.8,6.43,1.021,inspecao
2026-01-13 06:00:00,Lote_D,op_b,manual,normal,156.95,155.70874999999998,4.243,40.24,61.58,1.776,417.0,7.13,1.035,estavel
2026-01-13 07:00:00,Lote_C,op_d,automatico,normal,133.43,132.28,3.704,44.33,79.83,3.478,302.4,7.4,1.026,inspecao
2026-01-13 08:00:00,Lote_A,op_a,automatico,intermitente,118.46,113.87,3.778,43.175,60.0,2.675,318.6,6.76,0.981,inspecao
2026-01-13 09:00:00,Lote_C,op_d,manual,normal,108.53,104.16,4.104,38.84,51.13,1.858,271.4,6.74,1.062,estavel
2026-01-13 10:00:00,Lote_D,op_a,manual,normal,100.72,118.565,3.295,41.87,59.96,3.71,162.4,6.82,1.008,inspecao
2026-01-13 11:00:00,Lote_B,op_c,manual,normal,122.44,118.09,3.972,53.78,66.69,1.776,377.5,7.21,1.047,inspecao
2026-01-13 12:00:00,Lote_D,op_a,manual,travada,110.92,105.22,3.875,51.5,58.78,2.719,367.9,6.48,1.102,inspecao
2026-01-13 13:00:00,Lote_D,op_c,automatico,normal,102.93,118.565,4.022,44.4,58.65,2.41,301.7,6.88,1.012,estavel
2026-01-13 14:00:00,Lote_D,op_a,automatico,normal,112.24,118.565,3.93,42.21,46.77,3.111,324.4,7.14,0.964,estavel
2026-01-13 15:00:00,Lote_B,op_c,automatico,normal,107.02,118.565,4.905,42.66,47.39,3.293,353.5,6.98,1.031,inspecao
2026-01-13 16:00:00,Lote_D,op_a,cascata,normal,140.25,119.04,3.513,45.37,35.56,2.222,218.4,6.87,1.073,inspecao
2026-01-13 17:00:00,Lote_D,op_b,automatico,travada,130.58,139.31,3.561,36.37,85.99,1.673,285.6,7.15,1.099,inspecao
2026-01-13 18:00:00,Lote_D,op_a,automatico,normal,119.9,129.87,3.52,40.58,38.1,4.106,371.6,6.82,1.003,inspecao
2026-01-13 19:00:00,Lote_A,op_a,automatico,normal,137.76,121.17,3.55,32.82,46.91,1.726,238.5,7.04,1.055,inspecao
2026-01-13 20:00:00,Lote_D,op_b,automatico,intermitente,120.93,118.19,3.513,44.2,46.51,3.609,339.1,6.57,1.026,inspecao
2026-01-13 21:00:00,Lote_B,op_d,automatico,normal,109.66,106.69,4.335,45.56,72.32,2.296,231.8,6.16,1.037,estavel
2026-01-13 22:00:00,Lote_D,op_d,manual,normal,138.28,127.02,4.439,43.175,53.28,1.944,350.3,6.98,1.119,inspecao
2026-01-13 23:00:00,Lote_D,op_a,automatico,normal,126.47,120.25,3.543,50.66,77.96,2.329,317.7,7.28,0.995,inspecao
2026-01-14 00:00:00,Lote_B,op_b,cascata,normal,107.55,98.67,3.425,35.26,47.22,1.257,215.0,6.75,1.048,inspecao
2026-01-14 01:00:00,Lote_D,op_a,automatico,normal,117.72,131.74,4.012,33.95,62.46,1.52,395.7,7.13,1.054,inspecao
2026-01-14 02:00:00,Lote_B,op_c,automatico,intermitente,109.49,116.98,4.917,43.23,44.63,3.04,272.3,7.36,1.073,inspecao
2026-01-14 03:00:00,Lote_D,op_c,manual,intermitente,103.41,113.58,3.8865,43.175,92.32,1.74,267.3,7.26,1.043,inspecao
2026-01-14 04:00:00,Lote_B,op_a,manual,intermitente,131.11,136.88,3.891,51.26,39.0,1.467,333.0,7.37,1.049,inspecao
2026-01-14 05:00:00,Lote_D,op_d,automatico,intermitente,142.91,133.88,3.118,39.48,62.96,2.576,394.7,7.06,1.028,inspecao
2026-01-14 06:00:00,Lote_D,op_d,manual,normal,103.22,99.02,4.496,47.93,68.14,3.03,254.0,6.83,1.048,estavel
2026-01-14 07:00:00,Lote_A,op_a,automatico,normal,126.76,130.67,4.608,41.79,64.62,2.703,324.0,6.24,1.03,inspecao
2026-01-14 08:00:00,Lote_A,op_a,automatico,intermitente,112.19,102.41,3.524,41.05,55.04,4.106,347.9,6.71,1.059,inspecao
2026-01-14 09:00:00,Lote_D,op_c,automatico,normal,114.15,119.85,3.626,46.86,55.92,1.67,365.1,6.5,1.029,estavel
2026-01-14 10:00:00,Lote_D,op_d,automatico,normal,112.89,110.97,3.929,45.59,58.7,1.205,331.5,7.56,1.051,estavel
2026-01-14 11:00:00,Lote_C,op_a,automatico,intermitente,109.63,106.63,3.951,33.33,55.65,3.251,296.1,6.74,1.039,inspecao
2026-01-14 12:00:00,Lote_B,op_c,automatico,intermitente,120.58,126.27,4.096,50.12,73.42,1.974,321.4,6.84,1.074,inspecao
2026-01-14 13:00:00,Lote_C,op_d,automatico,normal,110.03,113.58,4.705,49.59,93.37,2.024,325.6,6.99,1.038,inspecao
2026-01-14 14:00:00,Lote_A,op_b,automatico,normal,123.25,120.36,3.72,43.175,49.08,3.13,250.3,6.82,0.987,estavel
2026-01-14 15:00:00,Lote_A,op_c,automatico,normal,119.4,128.67,3.441,44.18,36.08,2.589,150.92500000000007,7.39,1.078,inspecao
2026-01-14 16:00:00,Lote_A,op_d,cascata,normal,117.13,108.48,3.179,44.72,56.59,2.519,348.4,6.58,1.013,inspecao
2026-01-14 17:00:00,Lote_A,op_d,automatico,normal,109.11,114.04,3.471,43.43,99.28,3.716,378.8,6.87,1.02,inspecao
2026-01-14 18:00:00,Lote_D,op_c,automatico,normal,113.08,117.82,3.785,43.175,45.14,1.75,166.4,6.54,1.022,estavel
2026-01-14 19:00:00,Lote_A,op_b,manual,normal,129.06,126.58,4.608,38.31,84.23,2.849,254.4,6.34,1.081,inspecao
2026-01-14 20:00:00,Lote_D,op_c,automatico,normal,126.01,128.62,3.567,41.86,84.84,2.24,360.2,6.59,0.976,estavel
2026-01-14 21:00:00,Lote_D,op_d,automatico,normal,108.27,98.26,3.901,48.45,49.14,2.388,453.7,6.79,1.134,inspecao
2026-01-14 22:00:00,Lote_A,op_a,automatico,normal,121.19,128.58,4.917,44.99,67.1,3.27,321.4,6.65,1.072,estavel
2026-01-14 23:00:00,Lote_A,op_a,automatico,normal,129.02,127.54,4.335,43.175,84.05,2.555,272.7,6.56,1.047,estavel
2026-01-15 00:00:00,Lote_B,op_c,cascata,intermitente,99.97,95.79,4.917,46.24,51.93,2.577,308.1,6.31,1.038,inspecao
2026-01-15 01:00:00,Lote_C,op_d,manual,normal,126.52,134.91,3.561,30.766249999999992,54.74,2.951,409.4,6.77,1.049,inspecao
2026-01-15 02:00:00,Lote_A,op_a,automatico,normal,112.05,106.42,3.58,48.32,48.69,1.945,278.0,6.27,1.056,estavel
2026-01-15 03:00:00,Lote_B,op_d,cascata,normal,126.85,115.58,4.27,32.43,41.76,1.613,268.1,7.07,1.059,inspecao
2026-01-15 04:00:00,Lote_B,op_c,manual,intermitente,110.84,98.39,4.107,40.01,47.61,1.469,288.6,6.83,1.057,inspecao
2026-01-15 05:00:00,Lote_C,op_a,automatico,normal,98.34,118.565,4.917,35.84,38.42,0.824,258.0,6.29,1.043,inspecao
2026-01-15 06:00:00,Lote_D,op_d,cascata,normal,100.47,90.23,4.063,34.88,58.55,3.639,328.0,6.69,1.034,inspecao
2026-01-15 07:00:00,Lote_A,op_a,automatico,normal,120.58,134.62,3.638,48.38,45.68,1.428,425.6,6.54,1.035,inspecao
2026-01-15 08:00:00,Lote_C,op_c,manual,normal,123.12,106.46,4.066,39.43,61.74,2.045,341.0,6.91,1.034,inspecao
2026-01-15 09:00:00,Lote_A,op_d,cascata,normal,109.15,122.72,4.299,43.91,33.11,2.006,303.6,7.27,1.074,inspecao
2026-01-15 10:00:00,Lote_B,op_a,automatico,normal,127.66,129.35,4.169,41.74,63.29,2.415,301.0,6.14,1.058,estavel
2026-01-15 11:00:00,Lote_B,op_c,automatico,normal,100.06,99.29,4.028,44.62,71.34,2.771,218.4,6.84,0.952,estavel
2026-01-15 12:00:00,Lote_D,op_a,automatico,normal,119.21,114.85,4.28,42.42,26.1,2.802,377.4,6.74,1.06,estavel
2026-01-15 13:00:00,Lote_B,op_a,automatico,travada,105.47,108.66,3.8865,34.94,63.98,1.792,314.9,7.03,1.046,inspecao
2026-01-15 14:00:00,Lote_B,op_b,manual,normal,112.18,111.88,4.422,47.48,77.64,2.083,308.3,6.87,1.039,estavel
2026-01-15 15:00:00,Lote_C,op_b,cascata,normal,120.57,129.4,4.092,39.28,38.65,2.398,505.525,6.54,1.028,inspecao
2026-01-15 16:00:00,Lote_A,op_c,automatico,intermitente,109.68,110.59,3.725,33.44,84.76,2.026,339.4,6.69,1.074,inspecao
2026-01-15 17:00:00,Lote_A,op_b,automatico,normal,115.39,116.59,3.8865,39.65,64.7,3.325,271.1,6.52,1.068,estavel
2026-01-15 18:00:00,Lote_C,op_c,automatico,normal,132.08,129.17,4.343,50.25,46.72,2.544,292.3,6.82,1.017,inspecao
2026-01-15 19:00:00,Lote_D,op_b,automatico,normal,113.08,112.62,3.432,46.68,57.11,2.714,394.6,6.81,1.052,estavel
2026-01-15 20:00:00,Lote_A,op_a,automatico,normal,130.03,132.49,3.966,40.08,66.93,2.664,327.4,7.47,1.011,estavel
2026-01-15 21:00:00,Lote_B,op_c,automatico,travada,106.44,92.76,3.623,40.08,59.22,3.021,226.5,6.78,0.999,inspecao
2026-01-15 22:00:00,Lote_A,op_c,cascata,intermitente,126.36,115.57,3.813,43.175,66.62,2.327,505.525,6.82,1.021,inspecao
2026-01-15 23:00:00,Lote_B,op_a,automatico,normal,137.3,143.25,4.375,53.42,43.27,1.292,276.6,6.27,1.066,inspecao
2026-01-16 00:00:00,Lote_D,op_c,automatico,normal,90.34,91.71,3.886,44.1,60.71,2.48,441.8,6.17,1.069,inspecao
2026-01-16 01:00:00,Lote_C,op_c,manual,normal,110.44,108.97,3.821,44.37,35.38,1.744,390.2,6.25,1.055,estavel
2026-01-16 02:00:00,Lote_A,op_b,automatico,normal,126.92,127.07,3.188,47.67,56.22,1.83,321.4,6.89,1.062,estavel
2026-01-16 03:00:00,Lote_C,op_c,cascata,normal,117.56,120.34,4.136,43.31,43.54,2.61,403.3,6.98,1.055,estavel
2026-01-16 04:00:00,Lote_A,op_d,cascata,normal,124.45,120.13,4.09,40.58,46.23,3.067,324.4,6.25,1.021,estavel
2026-01-16 05:00:00,Lote_B,op_a,automatico,normal,112.75,106.52,4.773,40.92,77.78,2.215,375.4,7.11,1.053,inspecao
2026-01-16 06:00:00,Lote_C,op_b,automatico,normal,121.04,122.61,3.661,41.61,75.46,2.416,321.4,6.63,1.064,estavel
2026-01-16 07:00:00,Lote_A,op_b,automatico,normal,118.13,110.3,3.899,41.8,67.75,3.392,265.0,6.82,1.063,estavel
2026-01-16 08:00:00,Lote_B,op_d,automatico,travada,134.01,137.28,3.912,46.0,40.52,2.369,278.2,7.36,1.076,inspecao
2026-01-16 09:00:00,Lote_C,op_a,automatico,normal,123.05,109.43,4.51,42.29,52.94,4.021,386.9,7.11,1.061,inspecao
2026-01-16 10:00:00,Lote_C,op_a,automatico,normal,124.05,132.28,3.757,46.03,77.41,2.596,298.2,6.71,1.051,inspecao
2026-01-16 11:00:00,Lote_A,op_b,automatico,normal,115.06,118.84,3.926,41.56,60.27,0.967,293.8,6.49,1.072,estavel
2026-01-16 12:00:00,Lote_A,op_c,automatico,normal,114.15,116.2,4.074,42.43,95.11,2.727,257.9,6.05,1.039,estavel
2026-01-16 13:00:00,Lote_A,op_b,automatico,normal,114.81,122.67,3.884,31.01,64.29,2.467,347.5,6.55,1.014,inspecao
2026-01-16 14:00:00,Lote_B,op_a,cascata,normal,124.73,138.05,3.599,47.04,61.07,3.103,454.1,6.73,1.035,inspecao
2026-01-16 15:00:00,Lote_A,op_d,automatico,intermitente,114.95,123.06,3.887,43.91,53.05,2.671,250.6,6.45,1.018,inspecao
2026-01-16 16:00:00,Lote_C,op_b,automatico,normal,123.48,108.75,4.283,47.49,60.14,2.103,321.6,6.75,1.02,inspecao
2026-01-16 17:00:00,Lote_C,op_a,automatico,normal,144.9,134.66,3.338,30.766249999999992,55.56,1.343,411.8,6.83,1.036,inspecao
2026-01-16 18:00:00,Lote_A,op_b,cascata,normal,130.45,125.45,3.86,53.49,69.33,2.054,314.8,6.72,1.016,inspecao
2026-01-16 19:00:00,Lote_A,op_c,automatico,normal,116.09,116.3,3.485,41.23,73.31,1.605,349.4,6.57,1.031,estavel
2026-01-16 20:00:00,Lote_D,op_b,manual,intermitente,134.41,138.55,4.338,48.1,45.42,1.794,250.9,6.86,0.983,inspecao
2026-01-16 21:00:00,Lote_C,op_a,manual,normal,115.1,109.29,3.115,36.28,36.7,2.612,347.8,6.95,1.046,estavel
2026-01-16 22:00:00,Lote_B,op_a,automatico,normal,95.54,97.03,3.548,45.37,28.62,3.369,307.8,6.42,1.04,estavel
2026-01-16 23:00:00,Lote_D,op_a,manual,normal,107.9,101.86,3.97,36.21,66.13,2.476,384.1,7.29,1.015,estavel
2026-01-17 00:00:00,Lote_A,op_a,automatico,normal,97.55,92.66,4.504,38.57,40.35,1.363,397.2,6.77,1.06,inspecao
2026-01-17 01:00:00,Lote_A,op_b,automatico,normal,115.78,104.53,3.77,52.53,23.55,2.511,488.3,6.81,1.068,inspecao
2026-01-17 02:00:00,Lote_C,op_c,automatico,normal,120.22,112.83,3.55,40.95,64.22,3.038,357.7,7.05,0.992,estavel
2026-01-17 03:00:00,Lote_A,op_d,automatico,normal,140.12,129.31,4.647,43.2,97.89,1.773,341.2,6.88,1.017,inspecao
2026-01-17 04:00:00,Lote_B,op_d,automatico,normal,123.92,116.11,3.148,46.79,57.9,2.106,332.6,7.13,1.017,estavel
2026-01-17 05:00:00,Lote_C,op_a,manual,normal,117.37,125.8,2.811,44.73,71.42,2.21,297.0,6.9,1.012,inspecao
2026-01-17 06:00:00,Lote_A,op_a,automatico,normal,129.95,122.35,3.998,42.83,59.31,1.651,342.0,6.59,1.065,estavel
2026-01-17 07:00:00,Lote_C,op_b,automatico,normal,93.47,114.53,3.8865,44.01,56.42,2.654,300.8,6.93,1.034,inspecao
2026-01-17 08:00:00,Lote_A,op_d,automatico,normal,122.83,126.78,3.34,55.22,72.71,2.115,321.4,6.4,1.032,inspecao
2026-01-17 09:00:00,Lote_A,op_a,automatico,normal,129.25,130.73,4.119,41.68,53.36,2.494,405.6,6.84,0.98,estavel
2026-01-17 10:00:00,Lote_A,op_a,manual,normal,102.26,95.39,3.91,43.11,62.28,1.579,254.6,6.79,1.059,estavel
2026-01-17 11:00:00,Lote_B,op_c,automatico,intermitente,133.73,139.33,3.546,47.78,63.15,1.894,394.1,6.73,1.003,inspecao
2026-01-17 12:00:00,Lote_B,op_a,automatico,normal,124.06,119.45,3.224,55.55625000000001,47.31,2.706,405.6,6.76,1.042,estavel
2026-01-17 13:00:00,Lote_C,op_a,automatico,normal,115.02,116.0,4.193,48.53,73.87,1.939,321.4,6.14,1.048,estavel
2026-01-17 14:00:00,Lote_A,op_d,automatico,normal,127.59,148.07,4.093,45.51,55.2,3.409,182.1,6.61,1.081,inspecao
2026-01-17 15:00:00,Lote_A,op_d,automatico,normal,147.25,146.48,3.755,35.71,45.91,1.92,280.5,6.83,1.001,estavel
2026-01-17 16:00:00,Lote_B,op_b,manual,normal,122.18,131.37,4.631,50.98,66.58,2.357,404.3,6.86,0.949,inspecao
2026-01-17 17:00:00,Lote_A,op_d,automatico,normal,122.98,117.35,3.318,35.7,43.62,2.853,318.5,6.44,1.046,estavel
2026-01-17 18:00:00,Lote_B,op_c,cascata,travada,114.49,114.21,3.114,43.66,58.45,1.207,255.0,7.24,1.094,inspecao
2026-01-17 19:00:00,Lote_A,op_c,automatico,normal,109.8,123.97,3.489,37.85,57.85,0.967,287.2,6.5,1.077,inspecao
