timestamp,linha_producao,turno,produto_quimico,tipo_valvula,status_sensor,vazao_setpoint_l_min,pressao_linha_bar,temperatura_produto_c,abertura_valvula_pct,vibracao_bomba_mm_s,ph_produto,consumo_energia_kwh,tempo_resposta_seg,erro_vazao_pct,leituras_invalidas,horas_operacao_bomba,status_instrumentacao
2026-03-03 15:00:00,Linha_A,Manhã,Base_Z,Borboleta,OK,123.36,3.82,40.74,75.97,2.08,4.19,18.28,1.92,0.0,1,1612,Normal
2026-03-06 02:00:00,Linha_A,Manhã,Solvente_X,Borboleta,OK,111.86,4.78,38.4,37.81,4.05,7.6,26.51,1.84,2.66,1,2104,Normal
2026-03-06 14:00:00,Linha_C,Manhã,Aditivo_W,Esfera,OK,116.02,3.68,36.45,76.37,1.82,6.21,27.21,2.83,,1,2903,Normal
2026-03-07 07:00:00,Linha_A,Manhã,Base_Z,Esfera,Instável,127.08,4.7,33.44,54.59,3.05,8.94,28.01,2.02,5.55,1,527,Alerta
2026-03-01 09:00:00,Linha_B,Tarde,Solvente_X,Globo,OK,152.33,6.46,32.71,37.73,3.85,7.64,32.24,1.66,7.03,0,3121,Normal
2026-03-05 06:00:00,Linha_A,Tarde,Solvente_X,Globo,OK,126.17,3.45,28.57,60.38,1.77,,28.08,1.66,5.06,0,2355,Normal
2026-03-07 15:00:00,Linha_B,Manhã,Solvente_X,Globo,OK,107.59,6.86,56.21,38.4,2.7,5.5,21.86,1.99,0.0,2,1718,Normal
2026-03-01 20:00:00,Linha_B,Noite,Solvente_X,Globo,Instável,119.4,5.39,38.07,46.61,3.26,6.78,25.14,2.31,7.75,1,1659,Alerta
2026-03-09 07:00:00,Linha_C,Noite,Ácido_Y,Borboleta,OK,124.69,4.55,39.29,70.25,2.7,7.1,27.01,1.83,2.7,1,1908,Normal
2026-03-01 11:00:00,Linha_C,Tarde,Ácido_Y,Borboleta,Instável,113.02,,31.71,74.6,3.01,6.92,33.2,2.47,1.35,2,3659,Normal
2026-03-02 05:00:00,Linha_A,Noite,Aditivo_W,Globo,OK,138.79,4.69,41.41,46.77,1.36,7.92,16.24,1.78,1.87,1,2914,Normal
2026-03-04 16:00:00,Linha_C,Noite,Solvente_X,Esfera,Instável,131.7,3.69,53.1,43.37,2.6,6.12,72.4,2.8,8.53,2,1582,Falha
2026-03-09 06:00:00,Linha_C,Noite,Solvente_X,Globo,OK,128.89,3.93,34.05,15.89,2.38,6.83,24.96,1.78,7.85,1,2211,Normal
2026-03-07 13:00:00,Linha_C,Manhã,Solvente_X,Esfera,OK,123.56,3.7,49.92,48.4,2.81,6.59,23.57,0.86,1.63,3,2018,Normal
2026-03-03 04:00:00,Linha_C,Noite,Solvente_X,Borboleta,,95.52,5.04,20.12,56.21,2.52,6.8,32.52,1.95,5.62,3,2672,Normal
2026-03-05 20:00:00,Linha_C,Noite,Solvente_X,Borboleta,OK,122.31,4.88,47.3,63.73,2.22,8.06,34.43,2.04,6.58,1,2246,Normal
2026-03-02 09:00:00,Linha_C,Manhã,Aditivo_W,Globo,OK,113.53,3.96,36.99,60.43,9.8,7.47,26.13,1.77,0.0,3,2152,Normal
2026-03-05 02:00:00,Linha_A,Manhã,Ácido_Y,Esfera,Instável,97.47,4.88,52.09,70.9,3.66,5.94,19.95,1.55,4.75,1,2600,Alerta
2026-03-07 12:00:00,Linha_B,Noite,Base_Z,Globo,manutencao,143.71,,40.16,50.7,3.29,6.09,22.24,1.01,2.99,2,1828,Normal
2026-03-09 14:00:00,Linha_A,Tarde,Ácido_Y,Esfera,OK,133.89,4.91,43.45,64.24,3.08,5.36,18.22,0.86,2.8,0,3487,Normal
2026-03-01 02:00:00,Linha_B,Manhã,Ácido_Y,,OK,105.02,3.55,44.43,82.24,1.85,4.02,14.35,1.34,1.66,1,1683,Normal
2026-03-01 14:00:00,Linha_A,Manhã,Solvente_X,Esfera,OK,131.85,4.59,45.6,46.2,2.97,6.55,21.42,2.21,2.39,3,2462,Normal
2026-03-03 17:00:00,Linha_B,Manhã,Solvente_X,globo,Instável,123.49,5.36,,40.42,2.82,5.19,28.12,2.04,2.84,1,3924,Alerta
2026-03-01 16:00:00,Linha_A,Manhã,Solvente_X,Globo,OK,116.81,4.74,37.82,57.54,0.37,7.57,,2.21,4.24,0,2149,Normal
2026-03-06 08:00:00,Linha_A,Tarde,Aditivo_W,Globo,OK,102.59,4.9,35.45,53.57,3.51,4.92,21.7,1.98,3.61,2,2449,Normal
2026-03-04 11:00:00,Linha_A,Tarde,Base_Z,Globo,OK,132.75,6.6,45.28,92.03,2.15,6.14,21.48,2.53,0.22,0,2196,Normal
2026-03-01 00:00:00,Linha_A,Tarde,Solvente_X,Globo,OK,145.57,5.6,38.57,53.51,3.52,6.03,18.99,1.76,5.0,0,2557,Normal
2026-03-09 18:00:00,Linha_B,Manhã,Solvente_X,Borboleta,OK,113.48,4.17,36.81,38.16,3.36,8.85,24.2,1.49,3.37,0,2423,Normal
2026-03-03 05:00:00,Linha_C,Noite,Solvente_X,Esfera,OK,133.43,4.2,44.54,64.29,2.12,5.74,20.4,1.68,0.42,2,2553,Normal
2026-03-02 01:00:00,Linha_C,Noite,Ácido_Y,Borboleta,OK,141.39,5.08,36.69,5.0,3.98,7.33,26.93,1.14,4.49,1,2688,Normal
2026-03-01 21:00:00,Linha_A,Noite,Base_Z,,OK,152.3,4.74,28.82,26.3,4.04,6.29,20.03,1.94,6.18,0,3249,Alerta
2026-03-05 05:00:00,Linha_B,Noite,Base_Z,Esfera,OK,140.11,4.58,39.29,100.0,3.13,5.73,17.49,2.21,0.0,0,2184,Normal
2026-03-04 05:00:00,Linha_A,Manhã,Base_Z,Globo,Instável,153.86,3.08,49.98,5.0,2.93,5.53,33.07,2.98,2.89,1,1218,Falha
2026-03-08 14:00:00,Linha_C,Tarde,Ácido_Y,Esfera,OK,97.94,6.14,37.15,36.99,2.09,6.93,21.78,2.53,4.93,2,2702,Normal
2026-03-04 14:00:00,Linha_B,Tarde,Ácido_Y,Esfera,OK,96.95,2.8,42.75,51.71,2.68,5.9,26.62,1.5,4.47,1,2794,Normal
2026-03-08 12:00:00,Linha_A,Manhã,Solvente_X,Borboleta,,111.3,5.78,32.51,57.27,1.18,6.34,31.27,3.11,3.42,4,3891,Alerta
2026-03-09 02:00:00,Linha_A,Tarde,Solvente_X,Borboleta,OK,146.58,4.21,27.32,52.61,3.79,6.67,17.3,1.4,5.79,0,2029,Normal
2026-03-08 16:00:00,Linha_A,Manhã,Base_Z,Globo,OK,124.04,4.24,31.79,64.25,2.65,5.19,13.34,1.94,2.6,1,1398,Normal
2026-03-08 18:00:00,Linha_C,Tarde,Ácido_Y,Globo,OK,150.31,5.25,43.06,,1.02,7.01,17.82,1.99,3.96,2,2402,Normal
2026-03-05 17:00:00,Linha_C,Manhã,Ácido_Y,Esfera,OK,152.42,4.62,48.51,78.06,2.02,6.63,22.49,2.42,6.85,3,2424,Alerta
2026-03-05 01:00:00,Linha_B,Manhã,Solvente_X,Globo,OK,126.34,5.02,33.26,26.86,3.01,5.67,21.08,1.46,7.33,1,2061,Normal
2026-03-02 22:00:00,Linha_A,Noite,Solvente_X,,OK,126.64,5.68,39.12,54.62,1.53,5.92,21.85,2.67,0.56,1,2537,Normal
2026-03-09 04:00:00,Linha_B,Manhã,Ácido_Y,Globo,OK,108.74,5.67,34.14,74.93,1.69,6.57,23.06,2.42,3.21,3,1966,Normal
2026-03-09 09:00:00,Linha_A,Noite,Solvente_X,Globo,OK,107.91,4.91,52.04,53.37,1.45,6.0,32.69,0.68,5.54,0,3737,Normal
2026-03-02 06:00:00,Linha_B,Manhã,Solvente_X,Esfera,OK,132.27,5.69,38.45,44.16,2.58,,18.26,1.03,0.78,0,1207,Normal
2026-03-08 11:00:00,Linha_A,Noite,Base_Z,Esfera,OK,131.65,5.1,38.1,30.77,3.25,7.57,15.8,1.77,1.18,1,2231,Normal
2026-03-07 03:00:00,Linha_B,Noite,Solvente_X,,Instável,136.64,5.05,46.21,52.87,4.25,5.63,28.67,1.17,1.49,0,2699,Alerta
2026-03-03 08:00:00,Linha_A,Noite,Ácido_Y,Globo,Instável,114.46,5.06,29.81,69.3,1.11,4.71,19.89,1.34,1.76,4,1473,Alerta
2026-03-06 10:00:00,Linha_B,Tarde,Ácido_Y,Globo,OK,119.94,4.84,30.69,35.88,3.97,6.08,,2.26,0.0,2,3074,Normal
2026-03-05 07:00:00,Linha_B,Manhã,Base_Z,Globo,OK,128.22,4.72,31.2,41.47,2.9,7.94,17.11,1.66,5.71,2,810,Normal
2026-03-03 11:00:00,Linha_A,Noite,Aditivo_W,,OK,148.39,5.16,43.31,30.58,3.4,5.58,29.36,1.44,2.15,3,1590,Normal
2026-03-06 06:00:00,Linha_C,Tarde,Ácido_Y,Esfera,OK,134.14,4.9,41.77,55.44,2.68,6.8,65.0,1.89,4.54,5,3816,Normal
2026-03-02 18:00:00,Linha_A,Manhã,Ácido_Y,Borboleta,OK,116.99,6.72,33.71,71.44,2.25,6.77,21.38,1.73,0.77,1,3473,Normal
2026-03-03 09:00:00,Linha_A,Tarde,Solvente_X,Borboleta,Manutenção,123.94,5.14,25.39,32.42,2.9,5.81,28.74,1.38,4.96,1,2615,Alerta
2026-03-01 11:00:00,Linha_C,Tarde,Ácido_Y,Borboleta,Instável,113.02,,31.71,74.6,3.01,6.92,33.2,2.47,1.35,2,3659,Normal
2026-03-08 09:00:00,Linha_A,Tarde,Solvente_X,Globo,OK,89.97,5.47,33.73,46.45,4.81,6.83,27.7,1.08,2.11,1,3242,Normal
2026-03-01 02:00:00,Linha_B,Manhã,Ácido_Y,,OK,105.02,3.55,44.43,82.24,1.85,4.02,14.35,1.34,1.66,1,1683,Normal
2026-03-08 20:00:00,Linha_B,Noite,Solvente_X,Globo,OK,139.42,5.23,50.09,66.42,1.83,7.03,14.87,1.77,4.37,2,2399,Normal
2026-03-04 01:00:00,Linha_C,Tarde,Aditivo_W,Borboleta,OK,126.79,,31.47,48.39,3.26,8.41,16.02,1.82,0.0,0,1888,Normal
2026-03-06 00:00:00,Linha_C,Tarde,Base_Z,Globo,OK,111.97,3.53,33.5,48.97,3.7,6.0,19.02,1.74,8.47,1,1122,Normal
2026-03-04 22:00:00,Linha_C,Noite,Base_Z,Globo,OK,119.18,5.28,38.22,60.82,2.71,6.37,20.97,1.81,2.62,0,2775,Normal
2026-03-09 15:00:00,Linha_B,Noite,Base_Z,Globo,OK,70.0,4.68,34.14,50.33,2.45,7.12,18.26,2.11,5.61,0,3628,Normal
2026-03-01 22:00:00,Linha_A,Noite,Base_Z,Globo,OK,110.68,4.86,30.54,64.24,2.68,8.26,26.56,2.08,3.98,2,3119,Normal
2026-03-02 08:00:00,Linha_A,Noite,Solvente_X,Esfera,,130.51,5.29,31.42,37.03,4.75,7.74,32.9,2.09,2.57,1,2069,Normal
2026-03-01 15:00:00,Linha_A,Noite,Ácido_Y,Globo,Manutenção,156.18,4.64,41.32,34.85,3.7,8.27,27.53,1.23,2.3,1,2753,Alerta
2026-03-05 03:00:00,Linha_A,Manhã,Solvente_X,Esfera,Instável,145.99,4.75,38.96,53.6,3.06,6.41,24.2,2.52,0.0,3,2354,Normal
2026-03-07 19:00:00,Linha_B,Noite,Solvente_X,Esfera,OK,111.29,4.36,40.67,82.38,4.24,5.51,24.3,1.8,2.9,1,2445,Normal
2026-03-07 05:00:00,Linha_A,Manhã,Solvente_X,Borboleta,OK,108.36,5.13,28.92,44.06,2.27,8.26,34.05,1.65,1.92,1,2231,Normal
2026-03-04 23:00:00,Linha_B,Noite,Aditivo_W,Globo,Instável,124.38,5.48,92.5,50.46,2.82,7.0,23.51,0.84,7.41,0,2204,Alerta
2026-03-09 16:00:00,Linha_A,Tarde,Base_Z,Borboleta,Instável,140.68,5.37,32.27,68.3,3.04,7.45,26.06,1.48,3.38,1,2410,Normal
2026-03-03 18:00:00,Linha_A,Tarde,Aditivo_W,Globo,OK,139.33,4.56,37.89,58.61,4.51,6.88,24.64,1.84,5.2,3,2437,Normal
2026-03-08 04:00:00,Linha_B,Tarde,Base_Z,Borboleta,OK,120.68,4.83,49.69,46.64,1.39,5.26,21.13,1.3,1.58,0,2477,Normal
2026-03-02 11:00:00,Linha c,Tarde,Aditivo_W,Globo,OK,139.96,6.33,42.2,77.08,3.3,7.36,24.0,1.63,5.76,0,2098,Normal
2026-03-03 03:00:00,Linha_C,Noite,Base_Z,Borboleta,,120.84,3.88,27.61,49.94,1.49,7.08,31.93,1.93,0.08,1,3043,Normal
2026-03-05 01:00:00,Linha_B,Manhã,Solvente_X,Globo,OK,126.34,5.02,33.26,26.86,3.01,5.67,21.08,1.46,7.33,1,2061,Normal
2026-03-08 22:00:00,Linha_A,Manhã,Base_Z,Globo,OK,116.89,,39.57,62.38,4.67,6.51,,2.35,3.26,1,2787,Normal
2026-03-06 17:00:00,Linha_B,Tarde,Aditivo_W,Esfera,,83.25,,43.71,,2.61,7.19,34.77,1.34,7.43,1,1738,Normal
2026-03-07 23:00:00,Linha_A,Manhã,Ácido_Y,Globo,OK,109.67,4.64,29.43,54.56,2.5,7.82,,1.84,1.88,1,2246,Normal
2026-03-05 16:00:00,Linha_C,Manhã,Ácido_Y,Globo,OK,107.82,,28.05,46.95,3.94,3.63,28.7,3.27,6.03,1,1932,Alerta
2026-03-02 04:00:00,Linha_B,Noite,Solvente_X,Globo,OK,111.19,6.47,37.51,84.9,2.87,5.99,28.32,1.69,1.38,3,793,Normal
2026-03-05 12:00:00,Linha_A,Tarde,Ácido_Y,Globo,OK,123.54,5.53,46.3,71.55,2.31,7.31,31.16,1.63,0.85,3,1044,Normal
2026-03-04 23:00:00,Linha_B,Noite,Aditivo_W,Globo,Instável,124.38,5.48,92.5,50.46,2.82,7.0,23.51,0.84,7.41,0,2204,Alerta
2026-03-07 02:00:00,Linha_B,Noite,Solvente_X,Borboleta,Instável,145.19,3.85,42.64,78.71,3.67,7.29,26.64,1.45,,1,2644,Normal
2026-03-01 04:00:00,Linha_A,Manhã,Base_Z,Esfera,OK,110.06,,39.87,36.56,3.66,8.17,36.14,1.9,4.64,1,3131,Normal
2026-03-01 12:00:00,Linha_C,Tarde,Ácido_Y,Borboleta,OK,125.15,5.62,38.2,88.92,3.68,6.54,15.46,1.15,7.01,2,1685,Normal
2026-03-07 21:00:00,Linha_C,Noite,Ácido_Y,Esfera,Instável,127.63,6.1,42.71,47.23,2.53,6.55,20.04,2.26,4.7,1,1927,Normal
2026-03-08 01:00:00,Linha_B,Noite,Base_Z,Globo,OK,158.56,,32.05,60.84,3.13,6.46,20.84,1.93,0.89,1,2593,Normal
2026-03-05 00:00:00,Linha_B,Tarde,Base_Z,Esfera,OK,115.66,5.41,41.22,49.75,3.44,7.87,26.09,1.79,1.45,2,1936,Normal
2026-03-03 01:00:00,Linha_A,Manhã,Aditivo_W,Globo,OK,143.01,3.89,46.33,70.91,3.48,6.4,22.91,2.14,1.13,0,1582,Normal
2026-03-03 16:00:00,Linha_A,Tarde,Base_Z,Globo,OK,111.96,5.28,,41.78,3.77,7.63,21.56,2.05,3.74,2,3085,Normal
2026-03-01 10:00:00,Linha_A,Noite,Base_Z,Esfera,OK,108.97,,41.76,48.3,1.97,7.52,10.73,2.64,4.52,2,2766,Normal
2026-03-04 15:00:00,Linha_B,Manhã,Solvente_X,Globo,OK,135.7,6.63,34.58,79.75,2.87,6.27,26.43,2.66,6.23,0,2130,Alerta
2026-03-04 13:00:00,Linha_A,Noite,Ácido_Y,Globo,Instável,109.85,4.54,50.78,41.9,1.91,4.5,25.19,2.15,6.82,2,3557,Falha
2026-03-06 15:00:00,Linha_A,Tarde,Aditivo_W,Borboleta,Instável,120.48,6.2,36.06,100.0,2.43,8.69,29.33,1.23,2.99,4,2397,Alerta
2026-03-07 06:00:00,Linha_C,Manhã,Solvente_X,Globo,Manutenção,132.57,4.65,40.8,78.35,2.78,5.25,23.97,3.01,4.13,2,2605,Alerta
2026-03-04 21:00:00,Linha_B,Noite,Ácido_Y,Globo,OK,107.55,5.25,48.93,84.24,4.07,6.79,,1.78,3.56,2,3413,Alerta
2026-03-09 17:00:00,Linha_A,Manhã,Ácido_Y,Globo,Manutenção,88.69,5.57,37.98,66.08,2.49,8.28,23.71,1.21,0.0,2,3016,Alerta
2026-03-09 19:00:00,Linha_B,Noite,Ácido_Y,Esfera,OK,99.85,3.74,34.83,74.55,2.47,5.48,19.45,1.71,7.76,1,1364,Normal
2026-03-01 05:00:00,Linha_A,Manhã,Aditivo_W,Globo,OK,131.39,5.48,40.25,88.37,4.34,7.09,24.04,1.83,7.14,1,3305,Alerta
2026-03-07 04:00:00,Linha_A,Manhã,Solvente_X,Globo,OK,121.07,5.31,39.27,16.81,1.69,5.67,26.75,1.69,5.74,2,2437,Normal
2026-03-06 21:00:00,Linha_A,Tarde,Aditivo_W,,OK,114.94,5.8,39.98,49.68,4.06,6.7,26.53,1.65,2.37,1,1330,Normal
2026-03-02 15:00:00,Linha_B,Manhã,Ácido_Y,Globo,OK,141.05,5.2,48.44,40.12,14.7,7.72,21.29,1.71,6.08,1,2537,Alerta
2026-03-06 19:00:00,Linha_C,Tarde,Solvente_X,Globo,Instável,107.72,5.52,,48.64,3.5,5.32,26.99,1.34,3.12,3,2247,Normal
2026-03-03 10:00:00,Linha_A,Noite,Aditivo_W,Globo,OK,124.49,6.09,41.79,60.28,2.66,5.8,12.18,1.77,4.15,1,3760,Normal
2026-03-05 08:00:00,Linha_C,Noite,Base_Z,Esfera,OK,130.26,4.01,46.4,47.33,2.77,,28.0,2.2,2.02,0,2621,Normal
2026-03-09 05:00:00,Linha_C,Manhã,Solvente_X,Esfera,OK,127.12,5.29,55.91,52.83,3.25,8.96,20.71,1.57,1.91,2,1421,Normal
2026-03-01 06:00:00,Linha_A,Noite,Aditivo_W,Esfera,OK,123.65,4.52,33.32,76.98,2.71,6.73,22.86,1.44,5.26,1,2133,Normal
2026-03-09 20:00:00,Linha_B,Tarde,Ácido_Y,Esfera,OK,96.7,3.33,42.87,45.35,3.14,5.75,22.62,1.5,6.62,1,2012,Alerta
2026-03-09 22:00:00,Linha_B,Manhã,Ácido_Y,Globo,OK,111.58,3.92,38.62,61.61,3.81,6.5,29.34,2.25,5.88,0,1982,Normal
2026-03-05 15:00:00,Linha_A,Noite,Aditivo_W,Esfera,Instável,145.92,5.55,32.7,74.44,1.88,6.04,26.77,1.39,3.51,4,3667,Alerta
2026-03-05 10:00:00,Linha_B,Tarde,Solvente_X,Esfera,OK,131.57,4.94,30.67,57.04,2.68,7.91,13.65,2.09,8.39,1,1493,Normal
2026-03-08 21:00:00,Linha_A,Manhã,Solvente_X,Globo,OK,119.31,4.06,,74.97,3.02,7.12,30.68,2.41,0.99,5,3412,Normal
2026-03-09 10:00:00,Linha_A,Manhã,Solvente_X,Globo,OK,119.54,9.9,52.43,60.98,3.03,6.31,21.84,1.5,4.71,0,3062,Normal
2026-03-03 17:00:00,Linha_B,Manhã,Solvente_X,globo,Instável,123.49,5.36,,40.42,2.82,5.19,28.12,2.04,2.84,1,3924,Alerta
2026-03-10 00:00:00,Linha_A,Manhã,Solvente_X,Globo,OK,119.16,5.11,30.01,50.98,1.2,8.08,12.92,2.13,0.0,1,2236,Normal
2026-03-05 04:00:00,Linha_A,Tarde,Aditivo_W,Globo,OK,118.52,4.2,35.44,51.75,2.25,5.05,17.48,1.17,,2,1884,Normal
2026-03-07 00:00:00,Linha_A,Noite,Base_Z, ESFERA,OK,109.72,4.13,41.44,36.88,1.28,4.78,20.65,1.18,0.67,0,3890,Normal
2026-03-02 07:00:00,Linha_A,Tarde,Aditivo_W,Globo,OK,153.24,3.97,24.17,63.44,2.04,7.47,26.83,2.06,1.54,0,3352,Normal
2026-03-05 22:00:00,Linha_C,Tarde,Base_Z,Borboleta,OK,135.13,4.32,41.19,43.42,1.73,6.92,24.51,2.07,4.91,1,3316,Normal
2026-03-05 23:00:00,Linha_B,Manhã,Base_Z,Globo,OK,108.25,5.06,53.16,,3.63,7.06,19.15,1.67,1.3,2,3565,Normal
2026-03-09 23:00:00,Linha_A,Noite,Solvente_X,Globo,OK,126.24,3.08,48.34,88.09,2.75,7.41,30.21,2.44,2.58,0,2147,Normal
2026-03-02 14:00:00,Linha_B,Tarde,Aditivo_W,Esfera,OK,139.2,5.5,,39.2,2.24,8.35,29.29,1.79,4.78,0,3194,Normal
2026-03-08 02:00:00,Linha_B,Noite,Solvente_X,Borboleta,OK,151.1,4.28,33.94,33.78,2.7,6.83,11.08,1.35,2.28,1,1057,Normal
2026-03-03 15:00:00,Linha_A,Manhã,Base_Z,Borboleta,OK,123.36,3.82,40.74,75.97,2.08,4.19,18.28,1.92,0.0,1,1612,Normal
2026-03-03 02:00:00,Linha_C,Noite,Ácido_Y,Globo,OK,123.44,6.11,44.65,68.26,2.87,4.34,20.1,1.55,4.66,3,3071,Normal
2026-03-04 12:00:00,Linha_A,Noite,Base_Z,Globo,OK,124.39,5.59,33.76,55.37,2.61,6.77,8.37,1.13,5.06,2,2652,Normal
2026-03-09 12:00:00,Linha_B,Manhã,Solvente_X,Borboleta,OK,129.78,4.95,45.17,67.77,3.78,8.47,21.52,2.4,4.48,2,2313,Normal
2026-03-08 07:00:00,Linha_A,Noite,Aditivo_W,Globo,OK,101.59,3.56,41.11,50.34,2.93,7.73,21.65,1.68,3.95,0,3071,Normal
2026-03-04 03:00:00,Linha_B,Tarde,Solvente_X,Globo,Instável,118.82,4.12,31.81,56.55,3.61,6.16,29.53,1.7,,1,2884,Normal
2026-03-06 04:00:00,Linha_A,Tarde,Ácido_Y,Borboleta,OK,91.49,4.98,48.7,92.13,3.06,6.62,27.9,1.69,7.39,2,2654,Alerta
2026-03-05 09:00:00,Linha_A,Noite,Ácido_Y,Esfera,,128.06,,33.4,75.67,2.61,7.05,26.78,1.97,3.81,3,1614,Normal
2026-03-09 21:00:00,Linha_A,Manhã,Base_Z,Esfera,OK,140.89,5.21,44.69,69.55,2.77,5.17,18.45,0.7,3.34,3,2392,Normal
2026-03-01 08:00:00,Linha_B,Noite,Ácido_Y,Globo,OK,147.86,4.54,36.78,50.92,2.86,7.48,22.92,1.53,3.71,1,1667,Normal
2026-03-02 16:00:00,Linha_A,Tarde,Base_Z,Borboleta,OK,144.88,4.92,39.04,50.92,2.13,7.26,21.18,1.91,1.86,0,1455,Normal
2026-03-05 14:00:00,Linha_A,Tarde,Ácido_Y,Esfera,OK,118.38,4.01,44.97,,2.94,7.14,21.21,1.26,8.41,0,1804,Normal
2026-03-02 23:00:00,Linha_B,Noite,Solvente_X,Esfera,Instável,112.92,5.75,38.02,41.55,2.73,6.61,20.11,2.49,1.26,3,1643,Normal
2026-03-09 01:00:00,Linha_B,Tarde,Ácido_Y,Globo,Instável,91.62,4.08,,,2.54,5.72,,1.7,1.42,1,1737,Normal
2026-03-03 00:00:00,Linha_B,Tarde,Aditivo_W,Esfera,OK,120.52,5.31,41.06,11.36,1.45,5.77,28.47,1.15,4.99,0,2452,Normal
